severity,sheet,event_id,event_name,discipline,placement,players,issue_type,details
INFO,2010,2010_campeonato_suramericano_de,4to Campeonato Suramericano de Footbag,Open Singles,21,Goncalves / José Ángel,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_czech,Czech Footbag Championship 2010,Open Singles Freestyle,1,Hannia Mickiewicz | Honza Weber,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_czech,Czech Footbag Championship 2010,Open Singles Freestyle,2,Gosia Oledzska | Patrik Cerny,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_eurochamp_brussels,12th Annual IFPA European Footbag Championships - Brussels,Open Singles Freestyle,9,Mateusz Janicki | Michal Biarda | Rene Ruehr | Tuukka Antikainen,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2010,2010_eurochamp_brussels,12th Annual IFPA European Footbag Championships - Brussels,Open Singles Freestyle,13,Alexander Trenner | Jindrich Smola | Michal Minár | Wiktor Debski,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2010,2010_eurochamp_brussels,12th Annual IFPA European Footbag Championships - Brussels,Open Singles Freestyle,17,Arthur Ledain | Christopher Larndorfer | David Castillo | Jakub Grabarczyk,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2010,2010_eurochamp_brussels,12th Annual IFPA European Footbag Championships - Brussels,Open Singles Freestyle,21,Silwan Daouk | Tuomas Riisalo,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_footbagjam_stara_zagora,Urban Komba Footbag Open Footbag Jam,Open Net Singles,3,Stoian / Conkata (Animals),singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_funtastik_summer,Funtastik Summer Classic,Pro Singles Net,11,Chris Cleaver | Luka-Jean François Bélanger,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,1,François Depatie | Gilles Demers,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,2,Benjamin Rochon | Luc Legeault,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,3,François Depatie | Yves Archambault,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,4,Luc Legeault | Martin Cote,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,5,Martin Cote | Yves Archambault,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,6,Dominic O'Brien | Gilles Demers,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,7,Benjamin Rochon | Genevičve Bousquet,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,8,Dominic O'Brien | Philippe Lessard,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,9,Genevičve Bousquet | Jean François Bélanger,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,10,Mathieu Payant | Thibault Rehn,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,11,Jean François Bélanger | Mathieu Payant,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_king_hill_aki,"The King of the Hill 2010, presented by Aki Québec",Open Singles Net,12,Philippe Lessard | Thibault Rehn,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_polish,10th Annual Polish Footbag Championships 2010,Open Singles Routines,7,Arkadiusz Stanek | Krzysztof Sobótka,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_polish,10th Annual Polish Footbag Championships 2010,Open Singles Routines,9,Damian Budzik | Jakub Worek,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_usopen_portland,2010 U.S. Open Footbag Net Championships,Intermediate Singles,5,Dillon George | Jasper Shults | Joey Vu | Nick Rettinger,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2010,2010_worlds_oakland,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Singles Routines,10,Ken Somolinos | Lon Smith | Marcin Bujko,singles_tie_group,tie_size=3 tie_class=small_tie
INFO,2010,2010_worlds_oakland,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Singles Routines,13,Anssi Sundberg | Jay Boychuk | Michal Ostrowski | Philip Morrison,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2010,2010_worlds_oakland,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Singles Routines,17,Evan Gatesman | Toni Pääkkönen | Tuukka Antikainen | Wiktor Debski,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2010,2010_worlds_oakland,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Singles Routines,20,Matt Kemmer | Rafal Kaleta | Tomas Ostrowski | Zeb Jackson,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2010,2010_worlds_oakland,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Singles Routines,24,Benjamin Kellman | Brian Sherrill | Dustin Rhodes | Nathan Pipenberg | Rory Dawson | Szymon Kalwak | Taishi Ishida | Takumi Ozawa,singles_tie_group,tie_size=8 tie_class=large_group
INFO,2010,2010_worlds_oakland,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Singles Routines,32,Alex Dworetzky | Daniel Boyle | Dan Greer | Drew Martin | Eric Chang | John Goode | Manna Mpepo | Reid Strieller,singles_tie_group,tie_size=8 tie_class=large_group
INFO,2010,2010_zocha,Zocha Jam 2010,Open Singles Freestyle,4,Micha Ostrowski | Rafal Kaleta,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_austrian,Austrian Footbag Championships 2011,Open Singles Routines,11,Dominik Šimků | Michal Ostrowski,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_austrian,Austrian Footbag Championships 2011,Open Singles Routines,13,Andreas Nawrath | Klemenz Längauer,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_austrian,Austrian Footbag Championships 2011,Open Singles Routines,15,Andreas Hoffmann | Armin Moayad,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_eurochamp_madrid,13th Annual IFPA European Footbag Championships,Intermediate Singles Net,5,Kamil Wysocki | Rafael Abril | Sergio Garcia,singles_tie_group,tie_size=3 tie_class=small_tie
INFO,2011,2011_eurochamp_madrid,13th Annual IFPA European Footbag Championships,Open Singles Net,3,Jim Hankins | Kerstin Anhuth | Oxana Prikhodko | Yulia Tikhomirova,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2011,2011_french,French Footbag Championships 2011,Singles Net,8,Emilien Groussin | Sven Depoilly,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_french,French Footbag Championships 2011,Singles Net,10,Wilfrid Vincendeau / Nicolas Nantes | Olivier Baillon,singles_tie_group,tie_size=3 tie_class=small_tie
INFO,2011,2011_king_hill_aki,"The King of the Hill 2011, presented by Aki Québec",Open Singles Net,2,Benjamin Rochon | Luc Legeault,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_king_hill_aki,"The King of the Hill 2011, presented by Aki Québec",Open Singles Net,3,Benjamin Rochon | Luc Legeault,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_polish,11th Annual Polish Footbag Championships 2011,Intermediate Singles Freestyle,1,Damian Gielnicki | Dawid Michalowicz,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_polish,11th Annual Polish Footbag Championships 2011,Intermediate Singles Freestyle,2,Arkadiusz Dudzinski | Konrad Chlebny,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_polish,11th Annual Polish Footbag Championships 2011,Intermediate Singles Freestyle,3,Filip Wojcik | Olaf Piwowar,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_polish,11th Annual Polish Footbag Championships 2011,Intermediate Singles Freestyle,4,Patryk Tenderenda | Rene Ruehr,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2011,2011_polish,11th Annual Polish Footbag Championships 2011,Intermediate Singles Freestyle,5,Jakub Mosciszewski | Krzystof Sobotka | Maciej Niczyporuk | Michal Jalowiecki | Przemyslaw Pietrzycki,singles_tie_group,tie_size=5 tie_class=large_group
INFO,2011,2011_polish,11th Annual Polish Footbag Championships 2011,Intermediate Singles Freestyle,9,Arkadiusz Stanek | Mariusz Wilk | Mchal Biarda | Pawel Rozek | Pawel Scierski | Rafal Kaleta,singles_tie_group,tie_size=6 tie_class=large_group
INFO,2011,2011_polish,11th Annual Polish Footbag Championships 2011,Open Singles Freestyle,9,Arkadiusz Stanek | Maciej Niczyporuk | Michal Ostrowski | Wiktor Debski,singles_tie_group,tie_size=4 tie_class=large_group
