event_id,Host Club,,,event_source
1079444598,SG Frankfurt Footbag e.V.,,,
1094201584,SG Frankfurt Footbag e.V.,,,
1105353373,SG Frankfurt Footbag e.V.,,,
1117746703,SG Frankfurt Footbag e.V.,,,
1135116604,SG Frankfurt Footbag e.V.,,,
1225370942,SG Frankfurt Footbag e.V.,,,
1260368810,SG Frankfurt Footbag e.V.,,,
1271270281,SG Frankfurt Footbag e.V.,,,
1290861524,SG Frankfurt Footbag e.V.,,,
1325504349,SG Frankfurt Footbag e.V.,,,
1357642226,SG Frankfurt Footbag e.V.,,,
1393501611,SG Frankfurt Footbag e.V.,,,
1418127354,SG Frankfurt Footbag e.V.,,,
1444911632,SG Frankfurt Footbag e.V.,,,
1453384342,SG Frankfurt Footbag e.V.,,,
1460640850,SG Frankfurt Footbag e.V.,,,
1485520697,SG Frankfurt Footbag e.V.,,,
1526035381,SG Frankfurt Footbag e.V.,,,
1557144269,SG Frankfurt Footbag e.V.,,,
1677937557,SG Frankfurt Footbag e.V.,,,
1706536250,SG Frankfurt Footbag e.V.,,,
1740391168,SG Frankfurt Footbag e.V.,,,
1526583313,SK FOOTBAG T?BOR,,,
1635599636,SK FOOTBAG T?BOR,,,
1667566506,SK FOOTBAG T?BOR,,,
1699709080,SK FOOTBAG T?BOR,,,
1728058298,SK FOOTBAG T?BOR,,,
1759558836,SK FOOTBAG T?BOR,,,
1143155263,Sole Purpose,,,
1176318174,Sole Purpose,,,
1193783964,Sole Purpose,,,
1233299407,Sole Purpose,,,
1265850138,Sole Purpose,,,
1335148163,Sole Purpose,,,
1386623061,Sole Purpose,,,
1425372477,Sole Purpose,,,
1458772302,Sole Purpose,,,
1471686537,Sole Purpose,,,
1699593640,sole push,,,
957778745,Sole Rebels Z?rich,,,
980253113,Sole Rebels Z?rich,,,
981560223,Sole Rebels Z?rich,,,
1105087209,Sole Rebels Z?rich,,,
1329132977,Sole Rebels Z?rich,,,
1371821574,Sole Rebels Z?rich,,,
1389613723,Sole Rebels Z?rich,,,
979334083,Stanford University Footbag Club,,,
1012638214,Stanford University Footbag Club,,,
1429205408,Stanford University Footbag Club,,,
1148241486,Steel City Freestyle,,,
1024091202,Sunshred Footbag Crew,,,
1041241196,Sunshred Footbag Crew,,,
1068406344,Sunshred Footbag Crew,,,
1095965765,Sunshred Footbag Crew,,,
1102788509,Sunshred Footbag Crew,,,
937854594,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
955831740,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
990512631,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1001076315,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1063788560,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1094123527,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1102576153,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1226938152,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1244553505,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1293877677,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1321368279,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1333483324,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1353223688,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1363551565,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1374570632,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1401624489,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1413607134,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1436878168,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1449217972,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1471407009,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1509295388,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1509295589,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1537521152,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1576342966,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1643478787,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1700920831,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1736265216,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1745686591,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1749326277,Suomen Footbag Liitto ry. (Finnish Footbag Association),,,
1280907422,Swirl Pool,,,
1233718528,Sydney Freestyle,,,
999985344,Tallinn Footbag Club,,,
1079024287,Tallinn Footbag Club,,,
1109682847,Tallinn Footbag Club,,,
1172329753,Tallinn Footbag Club,,,
973573676,The Auckland Freestyle Footbag Club (AFFC),,,
1111735438,The Rochester Footbag Association,,,
1200325415,The Rochester Footbag Association,,,
1102443443,ToMiStyKa Footbag Club,,,
1126086921,ToMiStyKa Footbag Club,,,
1071060801,TSK Aachen e.V.,,,
1106561176,TSK Aachen e.V.,,,
1179679872,TSK Aachen e.V.,,,
1301243982,TSK Aachen e.V.,,,
1328094862,TSK Aachen e.V.,,,
1263589392,Tu Wat,,,
1539024211,Tucson Wild Footbag Cats,,,
1186079315,unBAGrenzt Aarau,,,
1260517364,Urban Komba,,,
1262631137,Urban Komba,,,
1267996189,Urban Komba,,,
1369141018,Urban Komba,,,
1393451254,Urban Komba,,,
1404123889,Urban Komba,,,
1417958417,Urban Komba,,,
1421069713,Urban Komba,,,
1458125752,Urban Komba,,,
1487800738,Urban Komba,,,
1499168069,Urban Komba,,,
1519215398,Urban Komba,,,
1519233007,Urban Komba,,,
1568289502,Urban Komba,,,
1580328152,Urban Komba,,,
1614772897,Urban Komba,,,
1673723574,Urban Komba,,,
1692508794,Urban Komba,,,
1711181388,Urban Komba,,,
1711182054,Urban Komba,,,
1739036206,Urban Komba,,,
1756448770,Urban Komba,,,
1079664495,Victoria Footbag,,,
1251990500,WSF Warsaw Footbag Association,,,
1267199851,WSF Warsaw Footbag Association,,,
1278603677,WSF Warsaw Footbag Association,,,
1282912320,WSF Warsaw Footbag Association,,,
1316280393,WSF Warsaw Footbag Association,,,
1323272493,WSF Warsaw Footbag Association,,,
1338821785,WSF Warsaw Footbag Association,,,
1366375326,WSF Warsaw Footbag Association,,,
1547415984,WSF Warsaw Footbag Association,,,
1600984774,WSF Warsaw Footbag Association,,,
1634665636,WSF Warsaw Footbag Association,,,
1668541701,WSF Warsaw Footbag Association,,,
1694170899,WSF Warsaw Footbag Association,,,
1251952403,X-PRO,,,
1284182261,X-PRO,,,
1286381206,X-PRO,,,
1286381599,X-PRO,,,
1297909685,X-PRO,,,
1301675662,X-PRO,,,
1311699287,X-PRO,,,
1330833781,X-PRO,,,
1339389008,X-PRO,,,
1353380057,X-PRO,,,
1366240051,X-PRO,,,
1368559562,X-PRO,,,
1423020874,X-PRO,,,
1430582557,X-PRO,,,
1435784719,X-PRO,,,
