event_id,year,Tournament Name,Date,Location,Event Type,Host Club,placements_count,results_lines,event_source
1335148163,2012,2012 US Open Freestyle Footbag Championships,"August 25, 2012","Park Portland, Oregon, United States",freestyle,Sole Purpose,33,42,
1335381794,2012,French Footbag Championships 2012,"May 26-27, 2012","Nantes, France",net,Carnabal Footbag,24,30,
1335761071,2012,6to Torneo FootCamp,"June 2-3, 2012","Tachira, Venezuela",net,Footbag T?chira Venezuela,32,37,
1335898356,2012,Turku Open 2012,"June 30-July 1, 2012","TURKU, Finland",net,Footcraft,10,15,
1336988107,2012,12th Annual IFPA Polish Footbag Championships 2012,"August 24-26, 2012","dolnoslaskie, Poland",mixed,DST Footbag Club Strzelin,114,152,
1337309613,2012,25th Annual Vancouver Open Footbag Championships,"August 18-19, 2012","BC, Canada",net,Kitsilano Footbag Association,37,50,
1337327565,2012,Akisphere,"June 22-24, 2012","Québec, Canada",net,Aki Qu?bec,24,30,
1337617980,2012,German Footbag Open (14th Annual German Footbag Championships),"August 25-26, 2012","Sachsen, Germany",mixed,Footbag Dresden e.V.,58,113,
1337623340,2012,30th Annual East Coast Footbag Championships,"September 28-30, 2012","Festival Brooklyn, New York, United States",mixed,New York Footbag Association,35,49,
1338821785,2012,Warsaw Footbag Open 2012,"July 1, 2012","Warszawa, Poland",net,WSF Warsaw Footbag Association,10,15,
1339389008,2012,3ra Copa Venezuela,"June 30-July 1, 2012","Capital, Venezuela",net,X-PRO,51,60,
1344519313,2012,Fifth Annual Windy City Cup Footbag Net Championships,"August 24-26, 2012","Park Chicago, Illinois, United States",net,Chicago Lake Coast Kickers,7,10,
1344593549,2012,IFPA Austrian Footbag Champs 2012,"November 23-25, 2012","Linz, Austria",mixed,gravityfighters Linz,52,73,
1344933824,2012,Acapulco Zocha Jam,"September 1-2, 2012","Dolnyslask, Poland",mixed,PSF Polish Footbag Association,29,44,
1346947092,2012,6o Suramericano de Footbag,"December 17-20, 2012","Antioquia, Colombia",freestyle,Footbag Medellin,30,21,
1346948712,2012,1o Torneo Nacional de Footbag,"October 13-15, 2012","Antioquia, Colombia",mixed,Footbag Medellin,22,31,
1347475695,2012,Carnabal Footbag Contest,"October 20-21, 2012","Loire-Atlantique, France",net,Carnabal Footbag,22,28,
1348171585,2012,Texas State Footbag Championships 2012,"October 20-21, 2012","Austin, Texas, United States",net,Austin Style Footbag Club - Texas Footbag League,4,7,
1348929718,2012,4ta Copa T?chira de Footbag,"November 3-4, 2012","Tachira, Venezuela",net,Footbag T?chira Venezuela,23,29,
1349043745,2013,15 Years FC Footstar,"January 25-27, 2013","Berlin, Germany",mixed,FC Footstar Berlin e.V.,82,99,
1353085933,2012,RNH Contest 2012,"November 24-25, 2012","Paris, France",net,Rien N'est Hacky - RNH Footbag,15,20,
1353223688,2012,Finnish Footbag Open,"December 8-9, 2012","Helsinki, Finland",mixed,Suomen Footbag Liitto ry. (Finnish Footbag Association),23,51,
1353380057,2013,5ta Copa X-PRO,"February 9-10, 2013","Capital, Venezuela",net,X-PRO,31,39,
1354752474,2013,13e Open de France de Footbag,"February 8-10, 2013","Paris, France",mixed,Rien N'est Hacky - RNH Footbag,98,124,
1357101984,2013,U.S. OPEN Footbag Net Championships 2013,"June 29-30, 2013","Portland, Oregon, United States",net,NPR,33,53,
1357206898,2013,Todexon 14,"April 12-14, 2013","Praha, Czech Republic",freestyle,Czech Footbag Association,34,45,
1357231609,2013,Sixth Annual Windy City Cup Footbag Net Championships,"June 21-23, 2013","Pier Chicago, Illinois, United States",net,Chicago Lake Coast Kickers,20,25,
1357234775,2013,2013 Mud Island Belt presented by Memphis Footworks,"April 13-14, 2013","Center Bartlett, Tennessee, United States",net,Memphis Footworks,16,21,
1357642226,2013,*Bembel Cup*,"May 18-19, 2013","Frankfurt, Germany",net,SG Frankfurt Footbag e.V.,22,25,
1358271250,2013,2013 Green Cup Presented by Chaos,"May 25-27, 2013","San Francisco, California, United States",mixed,Chaos Footbag Club,40,53,
1358964427,2013,JFK March Mayhem 2013,"March 23, 2013","Lääni, Finland",net,"Jyv""skyl""n Footbag-klubi, JFK",6,9,
1360305756,2013,2013 U.S. Open Freestyle Footbag Championships,"June 29-30, 2013","Washington Athletic Club Seattle, Washington, USA",freestyle,Rain City Shred,0,21,
1361207019,2013,34th IFPA WORLD FOOTBAG CHAMPIONSHIPS,"July 28-August 3, 2013","Québec, Canada",worlds,Aki Qu?bec,196,236,
