event_id,parsed_total_places,parsed_divisions
990626988,7,1
990905420,47,7
991285803,40,4
991757909,47,12
9918278,7,6
9924417,7,7
992517335,24,4
9928572,10,8
9934528,1,1
9940469,10,5
9958186,11,7
996293200,17,3
996678489,12,2
9966902,9,9
9972848,11,6
9980521,8,5
9984533,4,2
9992129,4,4
9998504,6,6
999985344,35,3
