event_id,city_canon,state_canon,country_canon,country_iso3,,,,,notes
1068406344,Győr,,Hungary,HUN,,,,,City name had '?' placeholder; corrected to Győr
1102788509,Győr,,Hungary,HUN,,,,,City name had '?' placeholder; corrected to Győr
1024091202,Kiskunfelegyhaza,,Hungary,,,,,,
1095965765,Piliscsaba,,Hungary,,,,,,
1768955907,Ibaraki,,Japan,JPN,,,,,
973573676,Auckland,,New Zealand,NZL,,,,,
947196813,Wellington,,New Zealand,NZL,,,,,
1038895913,Wellington,,New Zealand,NZL,,,,,
1099545007,Wellington,,New Zealand,NZL,,,,,
1248864536,Białystok,,Poland,POL,,,,,City name had '?' placeholder; corrected to Białystok
1282647603,Cracow,,Poland,POL,,,,,
1567551985,Cracow,,Poland,POL,,,,,
1336988107,dolnoslaskie,,Poland,POL,,,,,
1344933824,Dolnyslask,,Poland,POL,,,,,
1646855336,Jaworzno,,Poland,POL,,,,,
1751568193,Jaworzno,,Poland,POL,,,,,
1473853257,Krakow,,Poland,POL,,,,,
1531284609,Krakow,,Poland,POL,,,,,
1624971880,Krakow,,Poland,POL,,,,,
1645025950,Krakow,,Poland,POL,,,,,
1646387871,Krakow,,Poland,POL,,,,,
1697391704,Krakow,,Poland,POL,,,,,
1727756195,Krakow,,Poland,POL,,,,,
1406219099,Lubaczów,,Poland,POL,,,,,
1485863923,Lublin,,Poland,POL,,,,,
1185458086,Malopolska,,Poland,POL,,,,,
1251990500,Mazowieckie,,Poland,POL,,,,,
1297811412,Plonsk,,Poland,POL,,,,,
1278603677,Silesia,,Poland,POL,,,,,
1439332196,Silesia,,Poland,POL,,,,,
1467142686,Sl±skie,,Poland,POL,,,,,
1235653935,Strzelin,,Poland,POL,,,,,
1366375326,Suburb,,Poland,POL,,,,,
1299244521,Warsaw,,Poland,POL,,,,,
1323272493,Warsaw,,Poland,POL,,,,,
1189345008,Warszawa,,Poland,POL,,,,,
1219405634,Warszawa,,Poland,POL,,,,,
1267199851,Warszawa,,Poland,POL,,,,,
1282912320,Warszawa,,Poland,POL,,,,,
1316280393,Warszawa,,Poland,POL,,,,,
1338821785,Warszawa,,Poland,POL,,,,,
1547415984,Warszawa,,Poland,POL,,,,,
1600984774,Warszawa,,Poland,POL,,,,,
1634665636,Warszawa,,Poland,POL,,,,,
1668541701,Warszawa,,Poland,POL,,,,,
1694170899,Warszawa,,Poland,POL,,,,,
990626988,Wroclaw,,Poland,POL,,,,,
1074511718,Wroclaw,,Poland,POL,,,,,
1090437706,Wroclaw,,Poland,POL,,,,,
1104851808,Wroclaw,,Poland,POL,,,,,
1127155729,Wroclaw,,Poland,POL,,,,,
1158263300,Wroclaw,,Poland,POL,,,,,
1195773772,Wroclaw,,Poland,POL,,,,,
1224962900,Wroclaw,,Poland,POL,,,,,
1255957016,Wroclaw,,Poland,POL,,,,,
1288096032,Wroclaw,,Poland,POL,,,,,
1376036018,Wroclaw,,Poland,POL,,,,,
1461077179,Wroclaw,,Poland,POL,,,,,
1239721441,Wroclaw/Strzelin,,Poland,POL,,,,,
1102443443,Zachodnio-pomorskie,,Poland,POL,,,,,
1126086921,Zachodnio-pomorskie,,Poland,POL,,,,,
1081766954,Moscow,,Russia,RUS,,,,,
1092044099,Moscow,,Russia,RUS,,,,,
1093955766,Moscow,,Russia,RUS,,,,,
1241031822,Moscow,,Russia,RUS,,,,,
1362657553,Moscow,,Russia,RUS,,,,,
1076876907,Saint-Petersburg,,Russia,RUS,,,,,
1192722292,Saint-Petersburg,,Russia,RUS,,,,,
1449259560,Trnava,,Slovakia,,,,,,
1518200935,Kranj,,Slovenia,,,,,,
1487797845,Aranjuez,,Spain,ESP,,,,,
1566500647,Country,,Spain,ESP,,,,,
1293877917,Madrid,,Spain,ESP,,,,,
1139778550,Stockholm,,Sweden,SWE,,,,,
1011556608,Basel,,Switzerland,CHE,,,,,
1004370976,Basel-Stadt,,Switzerland,CHE,,,,,
957778745,Bern,,Switzerland,CHE,,,,,
1137942486,Lausanne,,Switzerland,CHE,,,,,
1280907422,Luzern,,Switzerland,CHE,,,,,
1097686137,Switzerland,,Switzerland,CHE,,,,,
1245404642,Vaud,,Switzerland,CHE,,,,,
1299019355,Vaud,,Switzerland,CHE,,,,,
1370276202,Vaud,,Switzerland,CHE,,,,,
1407335213,Vaud,,Switzerland,CHE,,,,,
1438626750,Vaud,,Switzerland,CHE,,,,,
1466891959,Vaud,,Switzerland,CHE,,,,,
1488957997,Vaud,,Switzerland,CHE,,,,,
1533246739,Vaud,,Switzerland,CHE,,,,,
1565425638,Vaud,,Switzerland,CHE,,,,,
1709070838,Vaud,,Switzerland,CHE,,,,,
1740419380,Vaud,,Switzerland,CHE,,,,,
1764237004,Vaud,,Switzerland,CHE,,,,,
959094047,Zurich,,Switzerland,CHE,,,,,
980253113,Zurich,,Switzerland,CHE,,,,,
981560223,Zurich,,Switzerland,CHE,,,,,
1068638122,Zurich,,Switzerland,CHE,,,,,
1105087209,Zurich,,Switzerland,CHE,,,,,
1329132977,Zurich,,Switzerland,CHE,,,,,
1371821574,Zurich,,Switzerland,CHE,,,,,
1389613723,Zurich,,Switzerland,CHE,,,,,
877848852, Auburn,Alabama,United States,USA,,,,,
1146356760,Athens,Alabama,United States,USA,,,,,
1485967222,Peninsula Cherokee,Alabama,United States,USA,,,,,
