event_key,legacy_event_id,year,event_name,orig_city,orig_region,orig_country,new_city,new_region,new_country,changed,rules_applied
2005-us-open-portland-usa,1113344236,2005,2005 IFPA U.S. OPEN FOOTBAG NET CHAMPIONSHIPS,Portland,Oregon,United States,Portland,Oregon,United States,no,
2005-worlds-helsinki-finland,1102576153,2005,26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,Helsinki,Uusimaa,Finland,Helsinki,Uusimaa,Finland,no,
2005-2e-championnat-de-lyon-france,1103297805,2005,2e Championnat de France de Footbag,Lyon,Auvergne-Rhône-Alpes,France,Lyon,Auvergne-Rhône-Alpes,France,no,
2005-open-gy-r-hungary,1102788509,2005,3rd Annual Sunshred Footbag Open (LIVE),Győr,Győr-Moson-Sopron,Hungary,Győr,Győr-Moson-Sopron,Hungary,no,
2005-5-years-frankfurt-frankfurt-germany,1105353373,2005,5 years Frankfurt Footbag e.V.,Frankfurt,Hesse,Germany,Frankfurt,Hesse,Germany,no,
2005-open-turku-finland,1109802420,2005,6th Annual IFPA Turku Open,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2005-open-frankfurt-germany,1117746703,2005,6th Frankfurt Footbag Open,Frankfurt,Hesse,Germany,Frankfurt,Hesse,Germany,no,
2005-open-paris-france,1125936037,2005,7e Open de France de Footbag,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2005-championships-wroc-aw-poland,1104851808,2005,7th Annual IFPA European Footbag Championships,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2005-championships-prague-czech-republic,1114277529,2005,Czech Footbag Championships,Prague,,Czech Republic,Prague,,Czech Republic,no,
2005-fc-footstars-7th-berlin-germany,1100728799,2005,FC Footstar's 7th Anniversary,Berlin,,Germany,Berlin,,Germany,no,
2005-championships-kuopio-finland,1132511088,2005,Finnish Footbag Championships 2005,Kuopio,North Savo,Finland,Kuopio,North Savo,Finland,no,
2005-camp-croatia-2005-ba-ka-voda-croatia,1113844078,2005,Footbag Camp Croatia 2005,Baška Voda,Split-Dalmatia,Croatia,Baška Voda,Split-Dalmatia,Croatia,no,
2005-fiesta-szczecin-poland,1102443443,2005,Footbag Fiesta,Szczecin,West Pomeranian,Poland,Szczecin,West Pomeranian,Poland,no,
2005-funtastik-summer-classic-harrisburg-usa,1109356644,2005,Funtastik Summer Classic,Harrisburg,Pennsylvania,United States,Harrisburg,Pennsylvania,United States,no,
2005-greater-rochester-area-rit-rochester-usa,1111735438,2005,Greater Rochester Area Shred Symposium and RIT Juggle-IN,Rochester,New York,United States,Rochester,New York,United States,no,
2005-ifpa-sun-city-turku-finland,1124035486,2005,IFPA Sun City Spike,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2005-open-zurich-switzerland,1105087209,2005,IFPA Swiss Footbag Open 2005: FootJam05,Zurich,,Switzerland,Zurich,,Switzerland,no,
2005-championships-szczecin-poland,1126086921,2005,Polish Footbag Championships 2005,Szczecin,West Pomeranian,Poland,Szczecin,West Pomeranian,Poland,no,
2005-rnh-contest-2005-paris-france,1103724325,2005,RNH Contest 2005,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2005-shercle-session-2-tallinn-estonia,1109682847,2005,Shercle Session #2,Tallinn,Harju County,Estonia,Tallinn,Harju County,Estonia,no,
2005-championships-fribourg-switzerland,1097686137,2005,Swiss Championships 2005,Fribourg,,Switzerland,Fribourg,,Switzerland,no,
