event_id,city,region,country,left_display,right_display,year_sheet_location,valid,issue
1646855336,Jaworzno,Silesian,Poland,Jaworzno,Poland,"Jaworzno, Poland",Y,
1649177702,Camp Doylesburg,Pennsylvania,United States,"Camp Doylesburg, Pennsylvania",United States,"Camp Doylesburg, Pennsylvania, United States",Y,
1646387871,Kraków,Lesser Poland,Poland,Kraków,Poland,"Kraków, Poland",Y,
1653152207,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1645025950,Kraków,Lesser Poland,Poland,Kraków,Poland,"Kraków, Poland",Y,
1649326445,Hradec Králové,,Czech Republic,Hradec Králové,Czech Republic,"Hradec Králové, Czech Republic",Y,
1653647467,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1657486956,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1669556651,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1645621833,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1647508742,Nantes,Pays de la Loire,France,Nantes,France,"Nantes, France",Y,
1667566506,Tábor,South Bohemian,Czech Republic,Tábor,Czech Republic,"Tábor, Czech Republic",Y,
1565425638,Lausanne,Vaud,Switzerland,Lausanne,Switzerland,"Lausanne, Switzerland",Y,
1668541701,Warsaw,Masovian,Poland,Warsaw,Poland,"Warsaw, Poland",Y,
1677937557,Frankfurt,Hesse,Germany,Frankfurt,Germany,"Frankfurt, Germany",Y,
1664206719,Erie,Pennsylvania,United States,"Erie, Pennsylvania",United States,"Erie, Pennsylvania, United States",Y,
1697391704,Kraków,Lesser Poland,Poland,Kraków,Poland,"Kraków, Poland",Y,
1688144863,Brooklyn,New York,United States,"Brooklyn, New York",United States,"Brooklyn, New York, United States",Y,
1678957450,Medellín,Antioquia,Colombia,Medellín,Colombia,"Medellín, Colombia",Y,
1699593640,Caracas,Miranda,Venezuela,Caracas,Venezuela,"Caracas, Venezuela",Y,
1686926080,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1692508794,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1673723574,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1695501837,Nová Bystřice,South Bohemian,Czech Republic,Nová Bystřice,Czech Republic,"Nová Bystřice, Czech Republic",Y,
1700920831,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
1694868513,Berlin,,Germany,Berlin,Germany,"Berlin, Germany",Y,
1690897570,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1699709080,Tábor,South Bohemian,Czech Republic,Tábor,Czech Republic,"Tábor, Czech Republic",Y,
1677285621,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1694170899,Warsaw,Masovian,Poland,Warsaw,Poland,"Warsaw, Poland",Y,
1706536250,Frankfurt,Hesse,Germany,Frankfurt,Germany,"Frankfurt, Germany",Y,
1713276656,Caracas,Miranda,Venezuela,Caracas,Venezuela,"Caracas, Venezuela",Y,
1711182054,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1727756195,Kraków,Lesser Poland,Poland,Kraków,Poland,"Kraków, Poland",Y,
1721320739,Brooklyn,New York,United States,"Brooklyn, New York",United States,"Brooklyn, New York, United States",Y,
1706036811,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1730420667,Medellín,Antioquia,Colombia,Medellín,Colombia,"Medellín, Colombia",Y,
1719166875,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1711181388,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1722339396,Nová Bystřice,South Bohemian,Czech Republic,Nová Bystřice,Czech Republic,"Nová Bystřice, Czech Republic",Y,
1728384115,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1728058298,Tábor,South Bohemian,Czech Republic,Tábor,Czech Republic,"Tábor, Czech Republic",Y,
1709496969,Nantes,Loire-Atlantique,France,Nantes,France,"Nantes, France",Y,
1721038326,Paris,Île-de-France,France,Paris,France,"Paris, France",Y,
1733755410,Caracas,Capital District,Venezuela,Caracas,Venezuela,"Caracas, Venezuela",Y,
1709070838,Lausanne,Vaud,Switzerland,Lausanne,Switzerland,"Lausanne, Switzerland",Y,
1721923932,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1721817655,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1740391168,Frankfurt,Hesse,Germany,Frankfurt,Germany,"Frankfurt, Germany",Y,
1751568193,Jaworzno,Silesian,Poland,Jaworzno,Poland,"Jaworzno, Poland",Y,
1750356087,Brooklyn,New York,United States,"Brooklyn, New York",United States,"Brooklyn, New York, United States",Y,
1741024635,Nantes,Pays de la Loire,France,Nantes,France,"Nantes, France",Y,
1760495074,Medellín,Antioquia,Colombia,Medellín,Colombia,"Medellín, Colombia",Y,
1746737817,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1756448770,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1739036206,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1745298933,Nová Bystřice,South Bohemian,Czech Republic,Nová Bystřice,Czech Republic,"Nová Bystřice, Czech Republic",Y,
1749326277,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
1736265216,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
1745686591,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
1765581778,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1759558836,Tábor,South Bohemian,Czech Republic,Tábor,Czech Republic,"Tábor, Czech Republic",Y,
1753997172,Paris,Île-de-France,France,Paris,France,"Paris, France",Y,
1740419380,Lausanne,Vaud,Switzerland,Lausanne,Switzerland,"Lausanne, Switzerland",Y,
1738446800,West Linn,Oregon,United States,"West Linn, Oregon",United States,"West Linn, Oregon, United States",Y,
1752525121,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1742511366,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1770923654,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
