event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved,norm,division_raw
1990_worlds,1990,Open Singles Net,net,1,player,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,,Mag Hughes,,partial,0,open sgls net,Open Sgls Net
1990_worlds,1990,Open Singles Net,net,2,player,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,,Dave Robinson,,partial,0,open sgls net,Open Sgls Net
1990_worlds,1990,Open Singles Net,net,3,player,fb605451-fa41-5e6d-ad21-1b541b3fc82b,,Steve Fennell,,partial,0,open sgls net,Open Sgls Net
1990_worlds,1990,Open Team Freestyle,freestyle,1,team,,b54020bc-1a1a-5d23-89e1-34617b3514fa|b7c2a69b-7547-5ee6-936e-b675c748d131,__NON_PERSON__,Jim Fitzgerald / Jack Schoolcraft,partial,0,open team freestyle,Open Team Freestyle
1990_worlds,1990,Open Team Freestyle,freestyle,2,team,,886e5b99-bd46-5707-a490-a2e938b09a35|bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,__NON_PERSON__,Bruce Guettich / Greg Cortopassi,partial,0,open team freestyle,Open Team Freestyle
1990_worlds,1990,Open Team Freestyle,freestyle,3,team,,777d9449-6e41-5985-bb7d-cdaf8647ef9c|64a7a989-aa2c-5a58-b141-e8378be4a962,__NON_PERSON__,Scott Cleere / Andy Linder,partial,0,open team freestyle,Open Team Freestyle
1990_worlds,1990,Women's Doubles Net,net,1,team,,eccb075a-3997-5288-a805-774d358f5656|26349aa8-a1ff-5e6a-bff5-f93a89d20c68,__NON_PERSON__,Nancy Reynolds / Tricia George,partial,0,women s dbls net,Women's Dbls Net
1990_worlds,1990,Women's Doubles Net,net,2,team,,826201f8-2540-5663-9bbf-239e94ccee43|2224d6ba-5be4-56a5-90e1-aaa61a15bcb0,__NON_PERSON__,Constance Constable / Jodi Sebastian,partial,0,women s dbls net,Women's Dbls Net
1990_worlds,1990,Women's Doubles Net,net,3,team,,3c09d4cc-2da9-5e1f-8a4c-e44ca0542f82|669a3821-2547-5215-9edd-7965ff400e69,__NON_PERSON__,Suzanne Beauchemin / Linda Burt,partial,0,women s dbls net,Women's Dbls Net
1990_worlds,1990,Women's Overall,net,1,player,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,,Tricia George,,partial,0,women s overall,Women's Overall
1990_worlds,1990,Women's Singles Net,net,1,player,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,,Tricia George,,partial,0,women s sgls net,Women's Sgls Net
1990_worlds,1990,Women's Singles Net,net,2,player,eccb075a-3997-5288-a805-774d358f5656,,Nancy Reynolds,,partial,0,women s sgls net,Women's Sgls Net
