qc_rule,qc_detail,event_id,year,division_canon,place,person_canon,norm
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1127155729,2005,Open Double Freestyle,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1131659634,2006,Open Mixed Doubles,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1131659634,2006,Open Mixed Doubles,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1135116604,2006,Intermediate Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1135116604,2006,Intermediate Doubles Net,9,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1135116604,2006,Open Doubles Freestyle,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1135116604,2006,Open Doubles Net,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1135116604,2006,Open Doubles Net,27,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1135116604,2006,Open Doubles Net,29,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1137942486,2006,Open Doubles Net,11,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1137942486,2006,Open Doubles Net,23,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1148374547,2006,Double Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1176318174,2007,"""B"" Division Doubles Net",5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1179679872,2007,Footbag Net Doubles,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1179679872,2007,Footbag Net Doubles,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1179679872,2007,Footbag Net Doubles,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1179679872,2007,Footbag Net Doubles,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1182542776,2007,Open Doubles,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1182542776,2007,Open Doubles,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1189467124,2008,Open Doubles,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1189467124,2008,Open Doubles,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1201811757,2008,Doubles,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1204006435,2008,Open Doubles,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1220466807,2008,Doubles Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1220466807,2008,Doubles Net,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1226378339,2009,Open Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1226679678,2009,Open Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1235149093,2009,Initial Seeding Open Doubles Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1235149093,2009,Initial Seeding Open Doubles Net,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1235149093,2009,Initial Seeding Open Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1235149093,2009,Initial Seeding Open Doubles Net,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1235149093,2009,Initial Seeding Open Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1252110023,2009,Doubles,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1252110023,2009,Doubles,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1252110023,2009,Doubles,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1252110023,2009,Doubles,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1268407783,2010,Intermediate,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1270631935,2010,Open Doubles Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1270631935,2010,Open Doubles Net,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1270631935,2010,Open Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1270631935,2010,Open Doubles Net,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1270631935,2010,Open Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1290861524,2011,Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1300316952,2011,Open Doubles Net,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1391189882,2014,Master Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1401113913,2014,Open Doubles Net,10,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1417735560,2015,Master Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1471686537,2017,Masters Doubles Net,10,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1473853257,2016,Doubles Kicking,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1487797845,2017,Mixed Doubles Net,11,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1600984774,2020,Open Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1646855336,2022,Open Doubles Net,11,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1646855336,2022,Open Doubles Net,13,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1667566506,2022,Open Doubles Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,857875120,1997,Novice Doubles Net,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,857875120,1997,Novice Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,857876870,1997,Doubles Golf,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,857876870,1997,Open Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,857876870,1997,Open Doubles Net,6,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,857879540,1997,Doubles Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,857879540,1997,Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,859400929,1997,Intermediate Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,859400929,1997,Open Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,876336655,1998,Open Doubles,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,876336655,1998,Open Mixed Doubles,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,910551956,1999,Novice Doubles Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,910551956,1999,Novice Doubles Net,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,910551956,1999,Novice Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,910551956,1999,Novice Doubles Net,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,910551956,1999,Open Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,910551956,1999,Open Women's Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,912467534,1999,Open Doubles Net 10 Teams,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,916193231,1999,Open Mixte Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,937727262,1999,Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,937854594,1999,Doubles Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,937854594,1999,Doubles Net,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,937854594,1999,Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,937854594,1999,Doubles Net,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,941418343,2000,Mixed Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,941418343,2000,Mixed Doubles Net,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,941418343,2000,Mixed Doubles Net,9,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,941418343,2000,Mixed Doubles Net,13,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,941418343,2000,Mixed Doubles Net,17,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,947026077,2000,Doubles Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,947026077,2000,Doubles Net,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,947026077,2000,Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,948198763,2000,Open Doubles Freestyle,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,948198763,2000,Open Doubles Freestyle,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,948198763,2000,Open Doubles Freestyle,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,952906680,2000,Open - Double,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,955745735,2000,Doubles Footbag Net,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,955745735,2000,Doubles Footbag Net,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,955745735,2000,Doubles Footbag Net,3,__NON_PERSON__,
