event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved
1361239920,2013,Open Doubles Net,net,6,team,60a591e7-f33b-51d4-ba2f-a43c58c03c77|ca64a226-9831-54d2-b8cc-c9a72ef37f9a,60a591e7-f33b-51d4-ba2f-a43c58c03c77|ca64a226-9831-54d2-b8cc-c9a72ef37f9a,__NON_PERSON__,Leiner Hevia / Jose Bolivar Izzo,complete,
1361239920,2013,Open Doubles Net,net,7,team,0327cbbc-8b68-573c-9e55-beb4c6338aa8|57241edc-fb79-5e95-836d-59d95390ab73,0327cbbc-8b68-573c-9e55-beb4c6338aa8|57241edc-fb79-5e95-836d-59d95390ab73,__NON_PERSON__,Eduardo Dleon / Fernando Moreno Garcia,complete,
1361239920,2013,Open Singles Net,net,1,player,cd277323-fc63-5adf-bb0c-e05ab57a46e8,,Roberto Da Silva,,complete,
1361239920,2013,Open Singles Net,net,10,player,d9a7e5f1-4575-53df-8031-84d5ae7ac7f0,,Darwins Mora,,complete,
1361239920,2013,Open Singles Net,net,11,player,60a591e7-f33b-51d4-ba2f-a43c58c03c77,,Leiner Hevia,,complete,
1361239920,2013,Open Singles Net,net,12,player,0327cbbc-8b68-573c-9e55-beb4c6338aa8,,Fernando Moreno Garcia,,complete,
1361239920,2013,Open Singles Net,net,13,player,53e79e50-2b7a-5808-9d60-7b3571ad1fd4,,Leandro Ribeiro,,complete,
1361239920,2013,Open Singles Net,net,14,player,57241edc-fb79-5e95-836d-59d95390ab73,,Eduardo Dleon,,complete,
1361239920,2013,Open Singles Net,net,2,player,dfb408b6-d225-5b9f-b1c7-3f9a76c4319a,,Carlos Marquez,,complete,
1361239920,2013,Open Singles Net,net,3,player,c683cb86-d6c9-5934-a233-52fe46b39a6e,,Andres Vivas,,complete,
1361239920,2013,Open Singles Net,net,4,player,f1fc2658-161b-53b1-bdc4-b9d88847819e,,Anthony Vivas Barrera,,complete,
1361239920,2013,Open Singles Net,net,5,player,f575cc2c-4155-547e-87ac-e2c53e7b63fc,,Julio Garcia,,complete,
1361239920,2013,Open Singles Net,net,6,player,5ac74658-81ad-5c49-ba70-5834dfb04168,,Eduardo Frenzel Martinez,,complete,
1361239920,2013,Open Singles Net,net,7,player,ffdcaf7f-8188-5fa1-be12-6dbfdb4b9804,,José Bolívar,,complete,
1361239920,2013,Open Singles Net,net,8,player,3f78b9d6-0b17-5661-8280-f98ad91dadf1,,Oscar Loretto,,complete,
1361239920,2013,Open Singles Net,net,9,player,578ed9fb-36ce-53e9-a833-b46ebae88bbd,,Cristian García,,complete,
1362598500,2013,Open Doubles Net,net,1,team,9d9b7019-1c24-54b4-8dfb-75bc689657e2|b3b2232e-40c2-5a99-bf1f-aa3e4f5b569c,9d9b7019-1c24-54b4-8dfb-75bc689657e2|b3b2232e-40c2-5a99-bf1f-aa3e4f5b569c,__NON_PERSON__,Luke Legault / François Pelletier,complete,
1362598500,2013,Open Doubles Net,net,10,team,b69d06e1-49be-5fac-ae61-a9194ef30ee0|fea99a91-ae13-5cb1-b87f-3c352783dc2e,b69d06e1-49be-5fac-ae61-a9194ef30ee0|fea99a91-ae13-5cb1-b87f-3c352783dc2e,__NON_PERSON__,Maude Landreville / Geneviève Bousquet,complete,
1362598500,2013,Open Doubles Net,net,11,team,071fce72-5f33-5892-a233-1d6c79a67568|78e060c9-3854-5b49-a5da-130392b333ea,071fce72-5f33-5892-a233-1d6c79a67568|78e060c9-3854-5b49-a5da-130392b333ea,__NON_PERSON__,Marc Girard-Larivière / Olivier Berthiaume-Bergé,complete,
1362598500,2013,Open Doubles Net,net,12,team,87216aed-3048-50f7-8c54-d7e9e7bb52f3|deb1a724-c5cd-5173-bd6e-71d8f1d585bf,87216aed-3048-50f7-8c54-d7e9e7bb52f3|deb1a724-c5cd-5173-bd6e-71d8f1d585bf,__NON_PERSON__,Philippe Lessard / Luka Weyler-Lavallée,complete,
