event_id,year,stage2_placements,flat_placements,delta_flat_minus_stage2
1204009603,2008,38,37,-1
1204904987,2008,40,40,0
1205552627,2008,33,33,0
1206161350,2008,17,14,-3
1208064566,2008,9,9,0
1208345952,2008,41,41,0
1208408135,2008,18,18,0
1212406878,2008,26,26,0
1212769063,2008,7,6,-1
1216058526,2008,56,43,-13
1216742033,2008,11,11,0
1216849705,2008,27,27,0
1218721346,2008,8,2,-6
1219405634,2008,98,97,-1
1220466807,2008,39,39,0
1220519679,2008,21,21,0
1221506867,2008,10,10,0
1222687523,2008,124,124,0
1224962900,2008,47,47,0
1225370942,2009,25,25,0
1226205667,2008,26,26,0
1226378339,2009,16,16,0
1226549669,2009,25,25,0
1226679678,2009,227,227,0
1226938152,2008,28,28,0
1228946926,2008,35,31,-4
1229435305,2009,18,18,0
1230850031,2009,18,18,0
1231286017,2009,37,36,-1
1231432184,2009,34,34,0
1232474501,2009,54,54,0
1233299407,2009,32,32,0
1233718528,2009,17,17,0
1234761224,2009,11,11,0
1235149093,2009,97,97,0
1235253768,2009,30,30,0
1235504528,2009,10,10,0
1235653935,2009,138,135,-3
1237771561,2009,14,14,0
1238728089,,0,0,0
1239056543,2009,36,36,0
1239721441,2009,12,12,0
1240469006,2009,27,27,0
1241011525,2009,51,51,0
1241031822,2009,30,30,0
1242210886,2009,24,24,0
1244553505,2009,21,20,-1
1245199707,2009,26,26,0
1245404642,2009,23,23,0
1245432804,2009,32,32,0
1245793403,2009,34,31,-3
1248033041,2009,24,24,0
1248864536,2009,52,52,0
1250478677,2009,8,7,-1
1251952403,2009,34,32,-2
1251990500,2009,47,47,0
1252110023,2009,47,46,-1
1252451527,2010,69,67,-2
1254662073,2010,18,18,0
1254724022,,0,0,0
1254829577,2009,48,48,0
1255269216,2009,13,13,0
1255335697,2009,23,23,0
1255957016,2009,53,53,0
1256202918,2010,137,137,0
1257621700,2009,40,39,-1
1258513500,2009,37,36,-1
1260368810,2010,36,31,-5
1260517364,2009,13,13,0
1262288759,2010,50,50,0
1262631137,2010,13,12,-1
1262691385,2010,14,14,0
1263589392,,0,0,0
1264098849,2010,30,30,0
1265745512,2010,268,268,0
1265850138,2010,30,30,0
1267199851,2010,56,55,-1
1267469140,2010,26,26,0
1267718326,2010,22,22,0
1267920908,2010,9,9,0
1267996189,2010,13,12,-1
1268191383,2010,12,12,0
1268338685,,0,0,0
1268407783,2010,44,44,0
1268445253,2010,41,1,-40
1269111845,2010,24,24,0
1269266785,2010,194,193,-1
1269860787,2010,7,7,0
1270518636,2010,14,14,0
1270631935,2010,51,50,-1
1271270281,2010,19,19,0
1271275118,2010,10,10,0
1272817638,2010,32,32,0
1273248665,2010,38,38,0
1277805979,2010,31,30,-1
1278603677,2010,56,56,0
1280002674,2010,32,32,0
1280907422,2010,25,24,-1
1282224512,2010,94,93,-1
1282647603,2010,11,11,0
1282912320,2010,42,42,0
1284182261,2010,28,12,-16
1284588517,2010,30,30,0
1285506605,2010,17,17,0
1285989828,2010,18,18,0
1286381206,2010,23,23,0
1286381599,2010,57,49,-8
1286644859,2010,20,19,-1
1287439208,2010,6,4,-2
1287703732,2011,8,8,0
1288096032,2010,71,70,-1
1290861524,2011,30,22,-8
1293877677,2011,381,381,0
1293877917,2011,140,109,-31
1293878155,2011,27,27,0
1294262550,2011,114,111,-3
1294779128,2011,20,20,0
1295120951,2011,66,66,0
1295262886,2011,10,10,0
1295842442,2011,52,52,0
1297811412,2011,158,157,-1
1297909685,2011,37,37,0
1298063977,2011,11,11,0
1298627369,2011,94,93,-1
1299019355,2011,41,18,-23
1299532552,2011,35,35,0
1300316952,2011,28,28,0
1301104070,2011,11,11,0
1301243982,2011,19,19,0
1301675662,2011,45,45,0
1301837216,2011,13,13,0
1301837824,2011,23,22,-1
1301958487,2011,21,21,0
1302802291,2011,21,21,0
1302874713,2011,16,16,0
1305581560,2011,35,34,-1
1310408325,2011,27,26,-1
1311699287,2011,36,36,0
1313351184,2011,30,30,0
1314229545,2011,21,19,-2
1314323534,2011,0,73,73
1314328055,2011,19,18,-1
1315451053,2011,4,4,0
1316280393,2011,67,66,-1
1318673467,2011,45,45,0
1319622692,2012,52,52,0
1320232300,2011,24,24,0
1320803601,2012,46,44,-2
1321368279,2011,27,27,0
1321869570,2012,25,25,0
1323272493,2012,331,264,-67
1323980691,2012,21,21,0
1325504349,2012,17,17,0
1326451143,2012,6,6,0
1327693335,2013,11,11,0
1328094862,2012,143,143,0
1329044785,2012,12,12,0
1329132977,2012,62,62,0
1330833781,2012,29,29,0
1330902233,2012,43,43,0
1331667371,2012,37,35,-2
1333483324,2012,15,15,0
1335148163,2012,33,33,0
1335381794,2012,25,25,0
1335761071,2012,32,32,0
1335898356,2012,10,10,0
1336988107,2012,117,114,-3
1337309613,2012,37,37,0
1337327565,2012,25,25,0
1337617980,2012,90,58,-32
1337623340,2012,36,36,0
1338821785,2012,10,10,0
