event_id,event_name,original_location,normalized_location,reason
1110562712,2005 Austrian Footbag & Disc Open,"Podersdorf, Austria","Podersdorf am See, Burgenland, Austria",region_added
980502839,European Footbag Championships,"Prague, Czech Republic","Prague, Prague, Czech Republic",region_added
1035277529,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,"Prague, Czech Republic","Prague, Prague, Czech Republic",region_added
1092073845,Czech Championships 2004,"Prague, Czech Republic","Prague, Prague, Czech Republic",region_added
1168634226,Todexon 8,"Prague, Czech Republic","Prague, Prague, Czech Republic",region_added
1194517448,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,"Prague, Czech Republic","Prague, Prague, Czech Republic",region_added
1196344513,Todexon 9,"Prague, Czech Republic","Prague, Prague, Czech Republic",region_added
1293878155,Todexon 12,"Prague, Czech Republic","Prague, Prague, Czech Republic",region_added
1389730147,Todexon 15,"Prague, Czech Republic","Prague, Prague, Czech Republic",region_added
944242404,Todexon Cup Freestyle Tournament,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1018812342,Czech Footbag Championships,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1070734498,TODEXON 5,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1114277529,Czech Footbag Championships,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1228946926,Czech Footbag Championships,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1231432184,Todexon 10,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1255335697,Prague Net Open,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1262691385,Todexon 11,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1321869570,Todexon 13,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1326451143,Praha Open,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1357206898,Todexon 14,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1415986036,Todexon 16,"Praha, Czech Republic","Prague, Prague, Czech Republic",region_added
1337617980,German Footbag Open (14th Annual German Footbag Championships),"Sachsen, Germany","Dresden, Saxony, Germany",region_added
1076876907,Russian Open Footbag Series/ Stage 1,"Saint-Petersburg, Russia","Saint Petersburg, Saint Petersburg, Russia",region_added
1192722292,Russian Footbag Freestyle Jam,"Saint-Petersburg, Russia","Saint Petersburg, Saint Petersburg, Russia",region_added
1315451053,Memphicago Open,"Salem, United States","Salem, Illinois, United States",region_added
1143195910,Hack Ski Sack,"Savoie, France","Chambéry, Auvergne-Rhône-Alpes, France",region_added
1278603677,10th Annual Polish Footbag Championships 2010,"Silesia, Poland","Katowice, Silesian, Poland",region_added
1439332196,XV IFPA Polish Footbag Championships,"Silesia, Poland","Katowice, Silesian, Poland",region_added
1467142686,16th Annual Polish Footbag Championships,"Slaskie, Poland","Katowice, Silesian, Poland",region_added
1417958417,17th Annual IFPA European Footbag Championships,"Sofia, Bulgaria","Sofia, Sofia-Grad, Bulgaria",region_added
