event_id,year,division_canon,merged_division_score,n_rows,n_people,n_places,min_place,max_place,n_first_place_rows,max_rows_same_place,n_places_repeated_gt2,n_places_repeated_gt4,flag_many_firsts,flag_repeated_places_gt4,flag_low_place_variety,flag_dense_repeat_pattern,flag_partial
915561090,1999,Intermediate Singles Net,3,21,21,9,1,9,1,13,1,1,False,True,False,False,False
1069929277,2004,Intermediate Singles Net,3,23,23,13,1,13,1,11,1,1,False,True,False,False,False
915561090,1999,Intermediate Singles Freestyle,3,18,18,10,1,10,1,9,1,1,False,True,False,False,False
1135116604,2006,Open Doubles Net,3,35,1,28,1,35,1,6,1,1,False,True,False,False,False
1646855336,2022,Open Doubles Net,3,19,1,13,1,19,1,6,1,1,False,True,False,False,False
1298627369,2011,Open Footbag Golf,3,16,16,10,1,16,1,5,1,1,False,True,False,False,False
1163784775,2007,Mixed Doubles Net,3,14,1,9,1,10,1,5,1,1,False,True,False,False,False
1204006435,2008,Open Doubles,3,11,1,7,1,7,1,5,1,1,False,True,False,False,False
876336655,1998,Open Mixed Doubles,3,9,1,5,1,5,1,5,1,1,False,True,False,False,False
1036298726,2003,Sick Trick,3,9,9,5,1,5,1,5,1,1,False,True,False,False,False
1160579826,2006,Mini Net,3,9,9,5,1,5,1,5,1,1,False,True,False,False,False
1176318174,2007,"""B"" Division Doubles Net",3,9,1,5,1,5,1,5,1,1,False,True,False,False,False
1668541701,2022,Open Singles Golf,3,8,8,4,1,9,1,5,1,1,False,True,False,False,False
876356874,1998,Open Mixed Doubles Net,3,14,1,6,2,13,0,4,3,0,False,False,False,True,True
