alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Mikko,Mikko Tapaninaho,1,10,2013,"2005,2009,2011,2012,2013,2025",0,,1377192359,"1102576153,1244553505,1293877677,1321368279,1333483324",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mikołaj,Mikołaj Kulesz,1,1,2023,2005,0,,1694170899,1102443443,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nicolas,Nicolas Boueste,1,1,2020,2003,0,,1598616506,1064849293,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nicolas,Nicolas De Zeeuw,1,25,2020,2001..2014 (11 yrs),0,,1598616506,"1001076203,1089373321,1090569022,1103724325,1125936037",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nicolas,Nicolas Janin,1,11,2020,2011..2019 (8 yrs),0,,1598616506,"1305581560,1320232300,1335381794,1407335213,1417735560",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nino,Nino Almazon,1,4,2001,"2000,2002,2003",0,,981129410,"1011324897,1021665982,1049457912,946940201",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nora,Nora Henschen,1,1,2003,2001,0,,1064849293,981560223,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nora,Nora Locher,1,2,2003,"2003,2004",0,,1064849293,"1042821772,1070734498",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Olivier,Olivier B.-Bergé,1,1,2010,2010,0,,1268445253,1272817638,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Olivier,Olivier Baillon,1,27,2010,2004..2016 (12 yrs),0,,1268445253,"1089373321,1090569022,1103724325,1125936037,1143027870",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Olivier,Olivier Berthiaume,1,4,2010,"2010,2011,2013",0,,1268445253,"1252451527,1301837824,1361207019,1362598500",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Olivier,Olivier Fages,1,1,2010,2004,0,,1268445253,1089373321,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Olivier,Olivier Gonelle,1,10,2010,2001..2008 (7 yrs),0,,1268445253,"1001076203,1030830356,1064849293,1080138513,1089373321",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Olivier,Olivier Tronchon,1,3,2010,"2001,2002,2003",0,,1268445253,"1011291051,1049457912,972427576",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Olivier,Olivier Zitoun Baillon,1,1,2010,2006,0,,1268445253,1160579826,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Pauline,Pauline Bechtel,1,2,2025,2000,0,,1741024635,"941418343,957240514",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Phil,Phil Lessard,1,2,2010,"2006,2009",0,,1268445253,"1146789209,1226679678",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Phil,Phil Madigan,1,1,2010,1998,0,,1268445253,876336655,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Phil,Phil Morrison,1,2,2010,2007,0,,1268445253,1163784775,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Phil,Phil Norrod,1,3,2010,"2003,2008",0,,1268445253,"1049457912,1216058526,1220466807",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Phil,Phil Summers,1,1,2010,1999,0,,1268445253,917741782,7,"prefix_match,token_subset,rare_alias,canon_more_common"
