person_id,person_canon,source_scope,ifpa_member_id,bap_member,bap_year,bap_nickname,fbhof_member,fbhof_year,source,confidence,notes
a6e260ae-74e5-5ef5-8b20-d7c2fbd65b83,Jon Lind,POST1997,82587,N,,,Y,2003,persons.csv (post-1997 canonical),HIGH,
b54020bc-1a1a-5d23-89e1-34617b3514fa,Jim Fitzgerald,POST1997,78878,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
b5d49246-d1b4-5540-a92d-72d26e6b1d0b,Reed Gray,POST1997,71840,N,,,Y,1999,persons.csv (post-1997 canonical),HIGH,
b76be9ba-0d58-5747-8ab1-11f3e3e5cc8d,Kim Era,POST1997,14586,N,,,N,,persons.csv (post-1997 canonical),HIGH,
b7c2a69b-7547-5ee6-936e-b675c748d131,Jack Schoolcraft,POST1997,,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,POST1997,76409,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
c04b0df1-3194-55ab-aa97-16adb45c25d3,Shannon Storment,POST1997,77762,N,,,N,,persons.csv (post-1997 canonical),HIGH,
c0592850-ae68-5b8b-aaf2-2741b8bdc51d,Walt Mason,POST1997,,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,POST1997,14664,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
cbf84862-04b1-5408-9e43-49b9818ed9aa,Carolyn Ramondie,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
cfcef53f-670c-5721-b206-1ebe7d63987c,Cheryl Hughes,POST1997,77817,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
d00d203f-ac71-5ec1-ad7f-497a8f024c50,Dave Frazier,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
d75b5871-83c1-5284-b09d-a5eb5d4377dd,Mike Harding,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
de9e5c5c-8b5b-5ced-b326-5d2048c7ab3c,Tim Prater,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
e85a6af9-3ac6-550d-8b35-045ec4886d06,Misty Helms,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
eb40c6a6-7e80-5190-b77d-47a47735bc0b,Kevin Courtney,POST1997,12214,N,,,N,,persons.csv (post-1997 canonical),HIGH,
eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
ece72308-6a72-551f-866a-e348728ee455,Kendall KIC,POST1997,13397,N,,,Y,2012,persons.csv (post-1997 canonical),HIGH,
f0156ba3-ee86-5eab-b884-99ba8719dd84,Tom Akin,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
