person_id,person_canon,style_mentions_total,distinct_style_terms,atomic,blazing,ducking,gyro,pixie,spinning,stepping,symposium,tapping
2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,1,1,0,0,0,0,0,1,0,0,0
7ed2abb4-f9f2-5432-9511-b62ce1a09957,Julian Sinnl,1,1,0,0,0,0,1,0,0,0,0
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,1,1,0,0,0,0,1,0,0,0,0
96973e82-353d-5d53-8275-63fddaaa3bb9,Julien Guil Romiti,1,1,0,0,0,0,1,0,0,0,0
ad56005f-3da3-5f45-99c3-a691e7e6773c,Julien Romiti,1,1,0,0,0,0,1,0,0,0,0
91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,1,1,0,0,1,0,0,0,0,0,0
d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,1,1,0,0,0,1,0,0,0,0,0
2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,1,1,0,0,0,0,0,0,0,1,0
cb0ef33f-3d90-5767-a574-f4f1adb9c66b,Kev McGrogan,1,1,0,0,0,0,1,0,0,0,0
ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,1,1,0,0,0,0,1,0,0,0,0
b20ba292-aa4b-5271-817a-d1a80bcb4d65,Kyle Warren,1,1,0,0,0,0,1,0,0,0,0
69667b03-2f4f-55b7-9c2f-79a5b60f362b,Lauri Airinen,1,1,0,0,0,0,0,0,0,1,0
8a740aac-66c5-5fe2-a482-2acd1d1cdc11,Lynton Stephens,1,1,0,0,0,0,1,0,0,0,0
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,1,1,0,0,0,0,0,1,0,0,0
4aacc030-1054-5a9e-82e9-96a8e7887435,Martin Sladek,1,1,0,0,0,1,0,0,0,0,0
db71b1dc-51bc-54e5-9360-1d186c8f1cad,Mateusz Janicki,1,1,0,0,0,0,1,0,0,0,0
ecd47dee-6803-5d73-b31c-dcb9860e767e,Mathieu Gauthier,1,1,0,0,0,0,1,0,0,0,0
6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,1,1,0,0,1,0,0,0,0,0,0
ce7e0e5a-0d7f-542c-8d5d-fb4895184909,Max Kerkhoff,1,1,0,0,0,0,1,0,0,0,0
8069a4cf-1543-5a0a-bf83-92edff9e120f,Maxime Boucoiran,1,1,0,0,0,0,1,0,0,0,0
fee1cb85-f33e-525c-a1f1-7d7cf652d6d3,Michael Nielson,1,1,0,0,0,0,0,1,0,0,0
da3fbe76-ba2d-51ee-a019-97e7ba93089a,Michal Ostrowski,1,1,0,0,1,0,0,0,0,0,0
8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,1,1,1,0,0,0,0,0,0,0,0
0cddd9e7-73d7-57d8-a99a-1d401206165a,Nathan Bonslaver,1,1,0,1,0,0,0,0,0,0,0
baab18da-920b-51d7-984d-688c23e82219,Nick Laroche,1,1,0,0,0,0,0,1,0,0,0
7a8ebf46-3df4-5114-9913-7154c9e52708,Pekka Raitio,1,1,0,0,0,0,0,0,0,1,0
82c36f56-236f-4496-826b-cf59a6fcc4ed,Rafal Kaleta,1,1,0,0,0,0,0,0,0,1,0
