person_id,person_canon,unique_tricks,total_tricks,diversity_ratio,compound_tricks,modifier_tokens,top_tricks,year_first,year_last
26098074-1c3e-5e3c-8c61-2b7eb8f32eda,Reid Strieller,2,2,1.0,0,2,spinning | paradox,2006,2006
27906256-df7d-5101-8427-d2735d2bda7a,Pomanov Andrey,2,2,1.0,0,2,spinning | ducking,2009,2009
2b72150a-23a0-5c22-864d-86e32a01f185,Brendan Erskine,2,2,1.0,2,0,ducking butterfly | paradox mirage,2001,2001
38c38c00-7c40-5136-b7d0-6e3c348aa396,John Hutchinson,2,2,1.0,2,0,mirage | torque,2003,2003
3a35aed5-508b-5278-847d-8a49e80d7b6f,Tomek Ostrowski,2,2,1.0,2,0,torque | whirl,2005,2005
40b58c8d-2350-5041-8600-e392b511e0bc,Carlos Terraza,2,2,1.0,1,1,pixie | whirl,2012,2012
476887f6-85fc-57b7-a603-24eb701cc219,Willie Digges,2,2,1.0,2,0,blurriest | swirl,2006,2006
495fbdce-986d-523e-9b01-f699a035c4ef,Tomasz Wróbel,2,2,1.0,2,0,dimwalk | ripwalk,2005,2005
4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,2,2,1.0,2,0,dimwalk | ripwalk,2006,2006
5153f93f-1e75-5497-82c6-bf804faf6476,Anton Britting,2,2,1.0,2,0,whirl | mobius,2015,2019
5258617b-2c26-5641-93e1-0296b3c9572a,Mitko Dimitrov,2,2,1.0,2,0,eggbeater | swirl,2018,2018
54d24f68-96bf-5837-bdaa-02e3d0774e76,Jean Phillipe Labbé,2,2,1.0,1,1,symposium | whirl,2005,2005
56ecef47-5ea7-5d81-8de8-3efb1e66c81b,Wojciech Ignaczak,2,2,1.0,2,0,butterfly | ripwalk,2004,2004
5c134542-d0b3-55f2-8c4c-413ccb2e9d15,Ilja Mitrofanov,2,2,1.0,2,0,paradox whirl | blurry whirl,2005,2005
5c162da2-c670-5845-a3d6-a2ed097eb59b,Søren Nøhr Thomsen,2,2,1.0,2,0,dimwalk | ripwalk,2006,2006
5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,2,2,1.0,2,0,spinning osis | ripwalk,2006,2006
6dd904b7-11c6-5d62-af34-dad61040e67e,Sebastien Duchesne,2,2,1.0,1,1,legover | paradox,2000,2000
746cc216-852b-5788-bdf3-7b08b853664c,Mike Stokely,2,2,1.0,2,0,butterfly | mirage,2008,2008
7c17dac5-be0b-5fc2-a537-2c8d02be9019,Tobias Larsen,2,2,1.0,2,0,dimwalk | blur,2006,2006
7ed2abb4-f9f2-5432-9511-b62ce1a09957,Julian Sinnl,2,2,1.0,1,1,pixie | whirl,2015,2015
8069a4cf-1543-5a0a-bf83-92edff9e120f,Maxime Boucoiran,2,2,1.0,1,1,pixie | swirl,2004,2004
816ccebb-84e4-551e-b7bb-d6517dd88e83,Asmus Helms,2,2,1.0,2,0,clipper | legover,2016,2016
8b1e5ce1-b6be-58dd-90c3-02bafdb34ec6,Vašek Klouda,2,2,1.0,2,0,superfly | flurry,2004,2004
8f15594c-f3f9-53d9-bfe5-409e746b7c29,Sunil Jani,2,2,1.0,2,0,blurriest | flurry,2002,2002
97d60d0e-3503-5814-8b1d-3fe6bb6bff86,Yacine Merzouk,2,2,1.0,1,1,legover | paradox,2000,2000
97dfde65-956c-5842-994d-05a877c49182,Cale McCoy,2,2,1.0,0,2,ducking | pixie,2010,2010
9ccb1c1b-89e0-5406-9e37-a287f34a84d8,Ben Schmaltz,2,2,1.0,1,1,symposium | swirl,2007,2007
9d12fe41-0154-57a6-b312-5f3b46f621b5,Pavel Motorov,2,2,1.0,2,0,fusion | mirage,2012,2012
a4299d6f-ea7b-54a5-9523-f16ba89259df,Matt Mclaren,2,2,1.0,2,0,dimwalk | swirl,2008,2008
a9cb54c3-9f91-563a-a953-4de8dda05ffe,Aric McIntosh,2,2,1.0,1,1,stepping | clipper,2006,2006
aa5f0e41-79db-5da1-a7dd-d47f3bd16cc2,Adrian Dick,2,2,1.0,2,0,swirl | blur,2001,2001
abe227f2-b4d5-5baa-9f72-2b6dfa32036e,Artur Pichura,2,2,1.0,2,0,fusion | whirl,2012,2012
ad56005f-3da3-5f45-99c3-a691e7e6773c,Julien Romiti,2,2,1.0,2,0,parkwalk | osis,2006,2006
b274fbcc-9283-5e2e-9c68-704f3212796e,Yves Kreil,2,2,1.0,1,1,stepping | torque,2005,2005
befb0f76-73f3-5021-bfa3-b62e1c6400bd,Piotr Czaja,2,2,1.0,2,0,superfly | whirl,2005,2005
c0c07821-7fc4-588e-b60c-76a25347a9eb,David Gil,2,2,1.0,2,0,ducking butterfly | torque,2021,2021
cb3bbcdd-5807-5fa1-a1a7-3367acf07b95,Ken Moller,2,2,1.0,2,0,legover | pickup,2021,2021
cd863f34-51f1-52ff-b4a8-516d262e99eb,Radek Turek,2,2,1.0,1,1,ripwalk | pixie,2009,2016
db71b1dc-51bc-54e5-9360-1d186c8f1cad,Mateusz Janicki,2,2,1.0,1,1,pixie | whirl,2009,2009
db9f32dc-4dab-560e-aa3f-0acfd32fcd7d,John Suderman,2,2,1.0,2,0,symposium whirl | butterfly,2013,2013
de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,2,2,1.0,1,1,atomic | blur,2007,2007
e66d59f6-6fb8-5ca7-b989-208de0ec0dc6,Eric Reiley,2,2,1.0,1,1,whirl | ducking,2003,2003
ef2c88aa-ab9e-58d1-b4c9-1374e77859eb,Sebastian Ceballos,2,2,1.0,1,1,ducking | blur,2022,2022
ef902cd4-83ed-574e-8fb6-06f76e2c2258,Liam Johnston,2,2,1.0,2,0,blurry whirl | whirl,2003,2003
f334c26d-1895-5e09-a1dd-96735ae0389a,Takao Wakou,2,2,1.0,2,0,blurry whirl | whirl,2021,2021
f825bd42-5056-55c5-8a4c-ba0788615e01,Ben Skaggs,2,2,1.0,2,0,paradox torque | whirl,2008,2008
fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,2,2,1.0,2,0,blurriest | whirl,2004,2004
2387456b-26ab-5254-ad15-2c78d59c4c71,Siegert Stefan,1,2,0.5,1,0,legover,2004,2004
542be6a9-3b5a-5374-961b-9de19c0def7a,Peter Irish,1,2,0.5,1,0,torque,2003,2003
73f415ee-765e-55ec-bde1-247d6b97eba6,Ellis Piltz,1,2,0.5,1,0,whirl,2004,2004
7afe03a1-08a3-5ea2-a884-f56589aeea38,Benjamin Benulis,1,2,0.5,1,0,mirage,2007,2007
ab216b72-e80d-526e-ba50-e8dd93866623,Ricky Moran,1,2,0.5,1,0,whirl,2004,2004
fae56cbd-e8c0-51a4-8f97-f61222a27d07,Shawnell Tolliver,1,2,0.5,1,0,double around the world,2008,2008
00535124-269f-5de1-be41-94948cdae1c0,Ben Scarborough,1,1,1.0,1,0,osis,2002,2002
0da84e00-c9f5-5d23-82b6-9ec1e759c74c,Jakub Worek,1,1,1.0,1,0,barfly,2017,2017
0dd4fbff-3e80-5779-853a-4e9a4189878a,Ashley Danowski,1,1,1.0,1,0,blurry whirl,2008,2008
1023877e-072b-55ae-be8f-f0cd7a7456dc,Maciek Bujko,1,1,1.0,1,0,torque,2010,2010
153f48a3-6f39-583d-a39a-e791454234e8,Brett Ables,1,1,1.0,0,1,pixie,2002,2002
172da5dd-ca4a-554e-8981-99993e295dd7,Stuart Roll,1,1,1.0,1,0,clipper,1997,1997
205ca842-1055-506b-8c48-118afc6ae681,Verena Lenneis,1,1,1.0,1,0,food processor,2015,2015
28f922a5-5d62-5473-b08e-3cd2ef6f74fe,Maciej Bujko,1,1,1.0,1,0,ripwalk,2018,2018
3123701a-43bd-5273-8472-ba332dc67fed,JUAN BERNARDO PALACIOS LEMOS,1,1,1.0,1,0,legover,2012,2012
3831ce06-a7b1-5b19-a3e4-e75bfad9dd1b,Olivier Gonelle,1,1,1.0,1,0,eclipse,2004,2004
416e8b3a-f738-5d7f-8e22-89a74a41e538,Peter Holoien,1,1,1.0,1,0,swirl,2008,2008
4466afbd-a8d2-59c8-a46b-1108c4f1ea10,Rob Creel,1,1,1.0,1,0,mirage,2008,2008
44c23e21-b920-58a7-90d9-80dcf5d60093,Andrew Dunford,1,1,1.0,1,0,ripwalk,2007,2007
