chain_id,event_id,year,person_id,person_canon,attribution_confidence,sequence_index,trick_canon,adds,score_method
1358271250_36,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,blurriest,5.0,direct
1358271250_36,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,swirl,3.0,direct
1358271250_37,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,ducking butterfly,4.0,direct
1358271250_37,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,food processor,6.0,direct
1358271250_37,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,2,mobius,5.0,direct
1358271250_38,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,spinning clipper,3.0,direct
1358271250_38,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,spinning whirl,5.0,direct
1358271250_38,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,2,legover,2.0,direct
1358271250_39,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,blurry whirl,5.0,direct
1358271250_39,1358271250,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,blur,4.0,direct
1361207019_166,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,symposium,,unscored
1361207019_166,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,blender,4.0,direct
1361207019_169,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,butterfly,3.0,direct
1361207019_169,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,symposium whirl,4.0,direct
1361207019_170,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,blurry whirl,5.0,direct
1361207019_170,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,ripwalk,4.0,direct
1361207019_170,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,2,mobius,5.0,direct
1361207019_171,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,smear,3.0,direct
1361207019_171,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,butterfly,3.0,direct
1361207019_171,1361207019,2013,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,2,paradox whirl,4.0,direct
1378666423_40,1378666423,2013,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,swirl,3.0,direct
1378666423_40,1378666423,2013,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,food processor,6.0,direct
1378666423_42,1378666423,2013,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,fusion,5.0,direct
1378666423_42,1378666423,2013,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,symposium,,unscored
1389730147_26,1389730147,2014,,,none,0,swirl,3.0,direct
1389730147_26,1389730147,2014,,,none,1,butterfly,3.0,direct
1389730147_26,1389730147,2014,,,none,2,paradox,,unscored
1391189882_216,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,0,pickup,2.0,direct
1391189882_216,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,1,fusion,5.0,direct
