event_id,division_canon,person_canon,places,message
1125936037,Open Singles Freestyle,Stefan Siegert,"[4, 6]","[sub_round] event=1125936037 div='Open Singles Freestyle' person='Stefan Siegert' places=[4, 6] (pool/heat/round-robin)"
1125936037,Open Singles Freestyle,Serge Kaldany,"[3, 4]","[sub_round] event=1125936037 div='Open Singles Freestyle' person='Serge Kaldany' places=[3, 4] (pool/heat/round-robin)"
1135116604,Open Singles Freestyle,Michal Biarda,"[29, 33]","[sub_round] event=1135116604 div='Open Singles Freestyle' person='Michal Biarda' places=[29, 33] (pool-play-heavy event)"
1137937282,Sick 3,Honza Weber,"[1, 2]","[adjacent_podium] event=1137937282 div='Sick 3' person='Honza Weber' places=[1, 2] (dual-division or heat/final)"
1137937282,Sick 3,Vaclav Klouda,"[1, 2]","[adjacent_podium] event=1137937282 div='Sick 3' person='Vaclav Klouda' places=[1, 2] (dual-division or heat/final)"
1138601883,Sick 1,Stu Sapia,"[1, 3]","[sub_round] event=1138601883 div='Sick 1' person='Stu Sapia' places=[1, 3] (pool/heat/round-robin)"
1148374547,Freestyle,Augustin Tiffou,"[5, 6]","[sub_round] event=1148374547 div='Freestyle' person='Augustin Tiffou' places=[5, 6] (pool/heat/round-robin)"
1148374547,Freestyle,Maxime Boucoiran,"[2, 3]","[adjacent_podium] event=1148374547 div='Freestyle' person='Maxime Boucoiran' places=[2, 3] (dual-division or heat/final)"
1148374547,Freestyle,Franck Rémy,"[2, 3]","[adjacent_podium] event=1148374547 div='Freestyle' person='Franck Rémy' places=[2, 3] (dual-division or heat/final)"
1148374547,Freestyle,Grischa Tellenbach,"[5, 6]","[sub_round] event=1148374547 div='Freestyle' person='Grischa Tellenbach' places=[5, 6] (pool/heat/round-robin)"
1161888703,[U]Sick One[/U],David Clavens,"[1, 2]","[adjacent_podium] event=1161888703 div='[U]Sick One[/U]' person='David Clavens' places=[1, 2] (dual-division or heat/final)"
1161888703,[U]Sick One[/U],Jorden Moir,"[1, 2]","[adjacent_podium] event=1161888703 div='[U]Sick One[/U]' person='Jorden Moir' places=[1, 2] (dual-division or heat/final)"
1176650845,Freestyle Routines Finals,Jonathan Schneider,"[1, 2]","[adjacent_podium] event=1176650845 div='Freestyle Routines Finals' person='Jonathan Schneider' places=[1, 2] (dual-division or heat/final)"
1176650845,Freestyle Routines Finals,Dan Greer,"[3, 4]","[sub_round] event=1176650845 div='Freestyle Routines Finals' person='Dan Greer' places=[3, 4] (pool/heat/round-robin)"
1176650845,Freestyle Routines Finals,Benny Kellman,"[1, 2]","[adjacent_podium] event=1176650845 div='Freestyle Routines Finals' person='Benny Kellman' places=[1, 2] (dual-division or heat/final)"
1176650845,Freestyle Routines Finals,Chris Balch,"[3, 4]","[sub_round] event=1176650845 div='Freestyle Routines Finals' person='Chris Balch' places=[3, 4] (pool/heat/round-robin)"
1177512537,Singles Freestyle,Jeremy Masselis,"[2, 4]","[sub_round] event=1177512537 div='Singles Freestyle' person='Jeremy Masselis' places=[2, 4] (pool/heat/round-robin)"
1177512537,Singles Freestyle,Maxime Boucoiran,"[2, 3]","[adjacent_podium] event=1177512537 div='Singles Freestyle' person='Maxime Boucoiran' places=[2, 3] (dual-division or heat/final)"
1177512537,Singles Freestyle,Grischa Tellenbach,"[3, 4]","[sub_round] event=1177512537 div='Singles Freestyle' person='Grischa Tellenbach' places=[3, 4] (pool/heat/round-robin)"
1183729267,Shred 30,Karim Daouk,"[5, 11]","[sub_round] event=1183729267 div='Shred 30' person='Karim Daouk' places=[5, 11] (pool/heat/round-robin)"
1185556078,Open Freestyle,Christopher Larndorfer,"[3, 5]","[sub_round] event=1185556078 div='Open Freestyle' person='Christopher Larndorfer' places=[3, 5] (pool/heat/round-robin)"
1185556078,Open Freestyle,Rene Ruehr,"[4, 6]","[sub_round] event=1185556078 div='Open Freestyle' person='Rene Ruehr' places=[4, 6] (pool/heat/round-robin)"
1185556078,Open Freestyle,Klemenz Längauer,"[2, 3]","[adjacent_podium] event=1185556078 div='Open Freestyle' person='Klemenz Längauer' places=[2, 3] (dual-division or heat/final)"
1185556078,Open Freestyle,Ali Djastranj,"[3, 4]","[sub_round] event=1185556078 div='Open Freestyle' person='Ali Djastranj' places=[3, 4] (pool/heat/round-robin)"
