effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,norm_key,legacyid
8d6656c4-0f6b-5ca9-880e-ab232863d340,Dorner Peter,7246c89f-1a3c-5cdd-872f-a32287a2558e,Dorner Peter,,,,overrides+data,Dorner Peter,,,,peter,,
e367f1b8-3d6f-58b7-9455-edb96a0f8ec7,Doromir Markov,b5feaf9c-044e-5619-b1ca-791ea61d71b5,Doromir Markov,,,,overrides+data,Doromir Markov,,,,markov,,
7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,4caa3fd3-f3bf-53b9-bf8a-2abca8221308 | a38d344d-4583-5e8a-a91d-80b36cf20200 | e21ab99d-dcaf-53dd-a974-678b83c4f3ea | ed11f0ee-d429-59a6-a898-761cd3b3369f | fd265fb2-1abd-5ebc-8d1c-66bafa06e581,Dorota Wojtasiuk,,,,overrides+data,Dorota Wojtasiuk,,,,wojtasiuk,,78927.0
f8d9d69d-cd6d-56d8-8963-b19c60546ce8,Doug Epperson,eb489810-4afd-58bb-94fa-06a78e2a4607,Doug Epperson,,,,overrides+data,Doug Epperson,,,,epperson,,
9780a575-f413-502c-8bcf-2e50758bd4ad,Doug Gannon,1705aa73-1849-5b7b-960e-98a006170035,Doug Gannon,,,,overrides+data,Doug Gannon,,,,gannon,,
c69adb4b-85f9-5498-b2fb-aaf717840319,Doug Pritchett,d4d62b5b-18b2-5763-ba08-3f8a29938537,Doug Pritchett,,,,overrides+data,Doug Pritchett,,,,pritchett,,
a5a1eedf-b4ee-5962-a7d9-5cc0dd308b3a,Doug Scott,3ff33595-1243-5a4c-bc7c-71b1ad2b187f,Doug Scott,,,,overrides+data,Doug Scott,,,,scott,,
373368d9-e65b-5a50-89b7-653ff4dc3a11,Doug Tank,1d56d638-5eff-52c5-97d9-02d73e6fcde6 | 67d806dd-237d-5ab0-a60c-62596e8800d0,Doug Tank,,,,overrides+data,Doug Tank,,,,tank,,
9ab59f0e-0eb2-5249-a60d-6583d51aa2c0,Doug Willis,774c168a-c4c7-5382-a297-4799c65a3fc5,Doug Willis,,,,overrides+data,Doug Willis,,Doug Willis -,,willis,,
85b19220-524f-553e-83f5-39286809df55,Drake Shults,075d9d2f-8b6d-5c38-a51a-de5456983542,Drake Shults,,,,overrides+data,Drake Shults,,,,shults,,
0b4b650a-3eae-53c0-aeb4-f5b47ca34cc6,Drew Martin,2a7415af-cd1a-5d2a-a4c1-3ee62b8ea918 | 4cc015da-404a-5cb4-854a-65223b1c1979 | 934b8836-f0fd-5991-adf2-5b72da23fcac | bc08dcf2-78fd-5efa-8c33-4d0ce3ff5702 | c1179404-a20e-5bb8-a6f7-d85ddeaab4ab | c8048172-2bd6-577a-9689-107ed1ef6ddd | d571a2c4-1483-58e9-bedb-b0c8ea89fd17 | d8d18bd9-0b98-500e-af14-f558e9504442,Drew Martin,,,,overrides+data,Drew Martin,,,,martin,,64126.0
0da98437-dfc1-588a-9233-02957599b980,Drixler Dora,42bb42dd-4d13-5805-bec8-055fdb4535b6,Drixler Dora,,,,overrides+data,Drixler Dora,,,,dora,,
58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,b4ba23aa-0861-5699-818f-1d8854a4b403 | b946ca00-afba-58ba-9fc1-443d89eb3d1e,Dustin Rhodes,,,,overrides+data,Dustin Rhodes,,,,rhodes,,
c28e51bd-80f9-5972-869c-25ebfc5e30f1,dustin yanofsky,68f3d432-f9c2-5fee-bdee-3cca61a44b25,dustin yanofsky,,,,overrides+data,dustin yanofsky,,,,yanofsky,,
1739ca69-640a-52e9-8266-1a96cc39ca49,Dyalan Govender,91778d0c-098c-5204-9acf-b23821b2f0bc,Dyalan Govender,,,,overrides+data,Dyalan Govender,,Dyalan Govender -,,govender,,
9aa9e85a-1dbb-54ad-8aed-10bd7e5719ad,Dylan Fry,1e67a846-bccf-5e39-ab71-6377af1b8ff8 | 3522b562-b3bb-5cd7-a126-3759292fa68e | 93ec9cd9-8ece-55e4-8239-dc5a7fd42b3d | a081a894-382b-577e-a4a0-7c540565b137 | a48af1aa-3ff2-5977-b3ce-514ab1159daf,Dylan Fry,,,,overrides+data,Dylan Fry,,,,fry,,
34963662-1827-5b7b-9114-0147a8d00273,Dylan George,e56b6b0f-d1e4-5e50-ab20-05febba6adda,Dylan George,,,,overrides+data,Dylan George,,,,george,,
16a8976e-c728-586a-835b-08b5255a744c,Dylan Govender,08e5ee87-9411-566d-a93c-a5c1ded4d0f4,Dylan Govender,,,,overrides+data,Dylan Govender,,,,govender,,
e06478ff-c2e5-5a5b-8aef-0150998283c2,Dylan Harper Fry,7f279b98-87fa-5f42-8437-29fd01c0d778,Dylan Harper Fry,,,,overrides+data,Dylan Harper Fry,,,,fry,,19324.0
162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,0f1e22c4-6331-54c5-98a0-a9dc53466e8b | 29b5c4c9-48ab-544c-bda8-607a78c3977e | 54ab697c-786f-5ad3-9f70-067e78b94640 | 99770316-e1f2-5aa8-8f02-762cf61accc4 | db2eb9d9-adec-5b47-bf67-b58f25c48d43,Dylan Johnson,,,,overrides+data,Dylan Johnson,,Dylan Johnson -,,johnson,,
f7aec15a-a574-5386-a992-b6428a652117,Dziewior Adam,23512113-8961-5f8b-8695-7d59bb44ce2f,Dziewior Adam,,,,overrides+data,Dziewior Adam,,,,adam,,
a928d15c-2767-5813-bf4e-42de51770339,Eagan Heath,49ff8244-d4d6-5ba2-b746-843da96a5115,Eagan Heath Idaho Falls,,,,overrides+data,Eagan Heath Idaho Falls,,,,falls,,
f6a16511-e835-587c-85db-f3ef731a4c23,Eathan Jordan,2d452bdc-3c36-5c32-ae87-9c7f821ce5fe,Eathan Jordan,,,,overrides+data,Eathan Jordan,,,,jordan,,
c540febd-ce4e-5312-a77e-ecdcae122094,Ebb Huggins,a81a454b-8074-5109-8e5f-d83a82f3c17d,Ebb Huggins,,,,overrides+data,Ebb Huggins,,,,huggins,,
0e956b53-3144-567b-9454-189b61b617e8,Ebi Schilling,0b34316d-7992-50ae-bd04-bc33feb8fd53 | 42ddfb30-c28c-57af-9957-42440815a06b,Ebi Schilling,,,,overrides+data,Ebi Schilling,,,,schilling,,
648ab031-29e7-5261-9817-e10739f88b56,Ed La Macchia,1dff9efc-55c6-5395-99bf-8d0b052559bd | 8de966a9-53dd-5180-b41f-925bc0b4520f,Ed La Macchia,,,,overrides+data,Ed La Macchia,,Ed LaMacchia,,macchia,,
afe77705-0c21-52e5-ac7e-572f8eb5aa76,Ed Oliveria,97358887-12af-566b-9b79-4dc50b0f6125,Ed Oliveria,,,,overrides+data,Ed Oliveria,,,,oliveria,,
f012ee54-0fa2-5b6e-9c10-c8aa3b1bcf02,Ed Orlando,5159e169-62ad-524f-9886-ad94ced347ef,Ed Orlando,,,,overrides+data,Ed Orlando,,,,orlando,,
53b62622-65cc-5c71-87d3-423fe3931645,Ed Stawicki,c82f6db9-75fa-5f88-9947-bc308f6ebc26,Ed Stawicki,,,,overrides+data,Ed Stawicki,,,,stawicki,,
9381df36-35c3-5703-b87e-fc0f8e93e704,Edgar Camargo,2ca31edc-5a80-51cd-81e7-43c087e96a5f | 6f6b741b-6952-52a7-8c06-e8faf9a6a049,Edgar Camargo,,,,overrides+data,Edgar Camargo,,,,camargo,,
5813a6cb-748f-5095-ba4d-50c77dee8281,Edison Alejandro Rodríguez Betancur,7314f297-7a28-55b5-9383-7500b142e516 | e9a1780b-6f62-5fcb-933e-d81ccb44acc7 | d23cfbc3-0a66-5bc5-b49a-8c8735335deb,Edison Alejandro Rodríguez Betancur | Edison Alejandro Rodriguez Betancur | Edison Rodriguez Betancur,Edison Rodriguez Betancur,,merged from Edison Rodriguez Betancur (11336800),overrides+data,Edison Alejandro Rodríguez Betancur,,Edison Alejandro Rodriguez Betancur,,betancur,,
de98b89e-daea-5fbb-85d3-2da18f7e06da,EDISSON DUQUE,45d44507-f8de-56b4-b5f9-c93d271518a9,EDISSON DUQUE,,,,overrides+data,EDISSON DUQUE,,,,duque,,
69868445-be68-5674-a057-4300e36f1432,Eduard Noel,ba281b77-807e-5d24-8813-a5c4445227f8,Eduard Noel,,,,overrides+data,Eduard Noel,,,,noel,,
61b12677-a1b7-587f-a11d-1e49d05d32f5,Eduardo Cantillo,727ae50b-c167-58c8-ba6f-8e22a50005c8 | b088b858-9524-5e97-b80b-d97254fe0240,Eduardo Cantillo,,,,overrides+data,Eduardo Cantillo,,,,cantillo,,
57241edc-fb79-5e95-836d-59d95390ab73,Eduardo Dleon,45438a54-916d-516a-a9ad-59ba69e1a877 | f677853b-afe5-557f-b00c-171e92d19dff,Eduardo Dleon,,,,overrides+data,Eduardo Dleon,,,,dleon,,
5ac74658-81ad-5c49-ba70-5834dfb04168,Eduardo Frenzel Martinez,5512035c-7c56-58e6-968a-fadcfa6284da | 0f0e1942-46dd-569f-9119-9ee9b96f5f77 | 15c297a5-3c4c-501f-a180-100325899ac9 | 1c560b24-80bd-527e-bc1c-906a6db40440 | 45749b43-2818-57e9-bf50-0602febe5746 | 87d5c9a4-fcc9-546f-b8e5-2455b9069fbf | 8c4c8d8c-9d2d-5708-93da-91f4284649f6 | 59f7f97a-1680-5c64-a60b-506b3065b837 | 82b5623d-501c-53e2-a1bc-ac6fb84f4c48 | 578afb2f-a7d8-5d05-9784-409b3ce11c6e,Eduardo Frenzel Martinez | Eduardo Martinez | Eduardo Martinez Venezuela | Eduardo Martniez | Eduardo Matinez,Eduardo Martinez,,merged from Eduardo Martinez (78cb7741),overrides+data,Eduardo Frenzel Martinez,,Eduardo Martínez | Eduardo Martinez Venezuela | Eduardo Martniez | Eduardo Matinez,,martinez,,
da5d3d9e-8e70-5d51-9aae-a55d25601a6e,Eduardo Portillo,462f74d9-d062-5216-b012-ea3d73aa6ac2,Eduardo Portillo,,,,overrides+data,Eduardo Portillo,,,,portillo,,
0c49d5fc-016d-55c4-80d0-8f643a195b05,Eduardo Vetromile Rocha,31eaf37c-5616-50db-b156-2f7ed53021ad | 3c0ef34d-9658-57c6-b4f5-fc16adcfebc2 | 7a38b78e-dd1c-5832-a618-90753609ef5f,Eduardo Vetromile Rocha,,,,overrides+data,Eduardo Vetromile Rocha,,Eduardo Vetromile | Eduardo Vetromille,,rocha,,
af84ae59-aa64-59f1-a74f-e27bb842345c,EDWIN JARAMILLO,fc790c1f-5fa5-5628-85e3-fc2a5faef37b | f8e32c57-e7a0-571b-8837-e6c66a418354,EDWIN JARAMILLO | Edwin Javier Jaramillo,,,,overrides+data,EDWIN JARAMILLO,,Edwin Javier Jaramillo,,jaramillo,,
3a087614-49b1-54de-baa9-8ec6c750277e,Edwin Tishner,f3748322-b7fa-51d8-bf77-44d6163932ff,Edwin Tishner-prizes,,,,overrides+data,Edwin Tishner-prizes,,,,tishner-prizes,,
62bdd1f4-4414-5259-9996-91770a34d09f,Edwin Veltman,7ef09571-6a3f-52fc-9e8a-f688dbdd5569 | bd17fd89-0d3e-57fd-a321-d7b3115f279b | d5471749-67ff-56a9-8f4f-c37dbdb30a9a | d99dd120-dd4e-5fb8-8416-101e3f4cf540,Edwin Veltman,,,,overrides+data,Edwin Veltman,,Edwin Veltman*,,veltman,,
2fa7d6e5-d7f0-54f5-84a9-e608d31891c0,Eero Milonoff,4e60928b-95c2-528e-93e4-69ba6ed294fd,Eero Milonoff,,,,overrides+data,Eero Milonoff,,,,milonoff,,
1e11a981-de87-536a-abdb-31030a1ce540,Effram Press,93f8a1ce-bd47-5ea6-b05b-fa5ac4fe78ca,Effram Press,,,,overrides+data,Effram Press,,Effram Press-,,press,,
e0d1d6f2-45be-5cc5-a815-1e882552e95f,Egoitz Campo,78bcd1f9-12a9-5356-ae40-aad82ba16fcc | 88820818-12e6-5600-984c-421590f6447a,Egoitz Campo,,,,overrides+data,Egoitz Campo,,,,campo,,
7e031708-3cc3-5262-bf0c-0fa9c10a67bc,Egorov Andrey,ebc96979-260d-5a5f-981f-f9b50dc74b1a,Egorov Andrey,,,,overrides+data,Egorov Andrey,,,,andrey,,
4da15b6a-a45d-5e53-979c-cd5171182d23,el Pulpö,eb2baf2d-42ee-584b-9598-12ab95f1272d,el Pulpö,,,,overrides+data,el Pulpö,,,,pulpö,,
f50b3c75-c930-5a71-a9f4-c5dda9e3a430,Eli Laird,d808de03-a45d-5259-93e5-38ecb98cf832,Eli Laird,,,,overrides+data,Eli Laird,,,,laird,,
1685a8aa-0446-562c-bfe0-186e50c8c93b,Eli Piltz,02fa47b8-9b9a-5bcc-9d6f-c93da9147c2d | 89ffd835-e149-5f43-b02d-a33c3d39c3b9,Eli Piltz,,,,overrides+data,Eli Piltz,,,,piltz,,12162.0
062edf1a-cfff-5e7d-924e-7b2e725c2909,Elian Sinacori,11d223e2-9313-5c4b-b152-2e16b3d2c35d,Elian Sinacori,,,,overrides+data,Elian Sinacori,,,,sinacori,,
3d934eef-5f11-578c-b997-91ba62b99665,Elio Bischoff,b1318c32-577f-5ddf-a687-536d2a06590c,Elio Bischoff,,,,overrides+data,Elio Bischoff,,,,bischoff,,
181795ec-8320-577b-8183-4cc4798f019b,Elise Regreny,45be9fb7-a542-5a62-a376-20d073a01947 | bd9ef05b-a014-52a1-8162-f19ea1ccc0c9,Elise Regreny,,,,overrides+data,Elise Regreny,,,,regreny,,83577.0
6114949e-79c4-5a3f-a3a7-fc449ce2629c,Elizabeth Bengston,27530cd6-837b-554b-9f79-2d48f8c0178e,Elizabeth Bengston,,,,overrides+data,Elizabeth Bengston,,,,bengston,,
35d0c8f6-2996-5294-b8a8-89cd7c7c06d5,Elizaveta Tikhomirova,c2419965-47c0-5461-bf09-00f190d3c078,Elizaveta Tikhomirova,,,,overrides+data,Elizaveta Tikhomirova,,,,tikhomirova,,
