result_id,canonical_event_id,division_raw,place,player_raw,team_raw,source_event_id,source_type
54ea5d712c,1986_worlds_golden,Open Sgls Freestyle,3,Scott Cleere,,549ebc61ff,FBW
222d5250b4,1986_worlds_golden,Open Team Freestyle,1,,Bruce Guettich/Greg Cortopassi,549ebc61ff,FBW
fc8c9ac9bd,1986_worlds_golden,Open Team Freestyle,2,,Scott Cleere/Bill Bethurum,549ebc61ff,FBW
d61031d6fe,1986_worlds_golden,Open Team Freestyle,3,,Jim Fitzgerald/Jack Schoolcraft,549ebc61ff,FBW
94f03e5ba5,1986_worlds_golden,Women's Team Freestyle,1,,Tricia George/Jodi Sebastian,549ebc61ff,FBW
caae46db4a,1986_worlds_golden,Women's Team Freestyle,2,,Constance Constable/Kim Era,549ebc61ff,FBW
9a6d30681d,1986_worlds_golden,Open Sgls Consecutive,1,Andy Linder,,549ebc61ff,FBW
712301f2d0,1986_worlds_golden,Open Sgls Consecutive,2,Pat Castle,,549ebc61ff,FBW
d2686fd87e,1986_worlds_golden,Open Sgls Consecutive,3,Fred Barnum,,549ebc61ff,FBW
0a9c19486a,1986_worlds_golden,Open Dbls Consecutive,1,,Jack Schoolcraft/Pat Castle,549ebc61ff,FBW
aba64ade31,1986_worlds_golden,Open Dbls Consecutive,2,,Jon Lind/Dennis Ross,549ebc61ff,FBW
dad844aacb,1986_worlds_golden,Open Dbls Consecutive,3,,Chris Ott/Jeff Johnson,549ebc61ff,FBW
1f5a0a6030,1987_worlds_golden,Men's Overall,1,Kenny Shults,,0178c65039,FBW
f36e5ed86e,1987_worlds_golden,Women's Overall,1,Tricia George,,0178c65039,FBW
385f4979ca,1987_worlds_golden,Open Sgls Net,1,Mag Hughes,,0178c65039,FBW
1196d3c1d6,1987_worlds_golden,Open Sgls Net,2,Kenny Shults,,0178c65039,FBW
ccfeaacef0,1987_worlds_golden,Open Sgls Net,3,Dave Robinson,,0178c65039,FBW
c7164ab3e2,1987_worlds_golden,Women's Sgls Net,1,Tricia George,,0178c65039,FBW
f195cda10c,1987_worlds_golden,Women's Sgls Net,2,Jodi Sebastian,,0178c65039,FBW
