result_id,canonical_event_id,division_raw,place,player_name_raw,person_id,person_canon,resolution_status,source_type
fe6a936768,1984_wfa_nationals,Women's Dbls Net,1,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
fe6a936768,1984_wfa_nationals,Women's Dbls Net,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
62dfbf940e,1984_wfa_nationals,Women's Dbls Net,2,Constance Constable,826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,MATCHED,FBW
62dfbf940e,1984_wfa_nationals,Women's Dbls Net,2,Jenny Davidson,3f48caf5-14c9-59f1-8255-1db7ef2fd049,Jenny Davison,MATCHED,FBW
9ba0ac45d0,1984_wfa_nationals,Women's Dbls Net,3,Jodi Sebastian,2224d6ba-5be4-56a5-90e1-aaa61a15bcb0,Jodi Sebastian,MATCHED,FBW
9ba0ac45d0,1984_wfa_nationals,Women's Dbls Net,3,Shannon Aubin,4667c817-96f6-5e6e-b3ab-46ecd390dc0e,Shannon Aubin,MATCHED,FBW
d707fe1939,1984_wfa_nationals,Mixed Dbls Net,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
d707fe1939,1984_wfa_nationals,Mixed Dbls Net,1,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
f52bc1c937,1984_wfa_nationals,Mixed Dbls Net,2,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
f52bc1c937,1984_wfa_nationals,Mixed Dbls Net,2,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
62e303cd41,1984_wfa_nationals,Mixed Dbls Net,3,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,Cheryl Hughes,MATCHED,FBW
62e303cd41,1984_wfa_nationals,Mixed Dbls Net,3,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
a5effdf8e7,1984_wfa_nationals,Open Sgls Freestyle,1,Andy Linder,64a7a989-aa2c-5a58-b141-e8378be4a962,Andy Linder,MATCHED,FBW
cc99d1b3b0,1984_wfa_nationals,Open Sgls Freestyle,2,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
8f81de21d6,1984_wfa_nationals,Open Sgls Freestyle,3,Jack Schoolcraft,b7c2a69b-7547-5ee6-936e-b675c748d131,Jack Schoolcraft,MATCHED,FBW
2e69bf2265,1984_wfa_nationals,Open Team Freestyle,1,Jim Fitzgerald,b54020bc-1a1a-5d23-89e1-34617b3514fa,Jim Fitzgerald,MATCHED,FBW
2e69bf2265,1984_wfa_nationals,Open Team Freestyle,1,Jack Schoolcraft,b7c2a69b-7547-5ee6-936e-b675c748d131,Jack Schoolcraft,MATCHED,FBW
518e3edc68,1984_wfa_nationals,Open Team Freestyle,2,Gary Laut,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,Gary Lautt,AUTOACCEPTED,FBW
518e3edc68,1984_wfa_nationals,Open Team Freestyle,2,Jim Caveney,df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,MATCHED,FBW
518e3edc68,1984_wfa_nationals,Open Team Freestyle,2,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
dd2156def6,1984_wfa_nationals,Open Team Freestyle,3,Scott Cleere,777d9449-6e41-5985-bb7d-cdaf8647ef9c,Scott Cleere,MATCHED,FBW
dd2156def6,1984_wfa_nationals,Open Team Freestyle,3,Bill Bethurum,67af5b3f-6e16-530a-8841-409debf11fb0,Bill Bethurum,MATCHED,FBW
0633df218b,1984_wfa_nationals,Women's Team Freestyle,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
0633df218b,1984_wfa_nationals,Women's Team Freestyle,1,Jodi Sebastian,2224d6ba-5be4-56a5-90e1-aaa61a15bcb0,Jodi Sebastian,MATCHED,FBW
428d87e172,1984_wfa_nationals,Women's Team Freestyle,2,Suzanne Beauchemin,3c09d4cc-2da9-5e1f-8a4c-e44ca0542f82,Suzanne Beauchemin,MATCHED,FBW
428d87e172,1984_wfa_nationals,Women's Team Freestyle,2,Constance Constable,826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,MATCHED,FBW
7d8692ded8,1984_wfa_nationals,Women's Team Freestyle,3,Jenny Davidson,3f48caf5-14c9-59f1-8255-1db7ef2fd049,Jenny Davison,MATCHED,FBW
7d8692ded8,1984_wfa_nationals,Women's Team Freestyle,3,Ruth Osterman,a10fa54f-eadb-5842-8df1-fdca1920e7e7,Ruth Osterman,MATCHED,FBW
334ea887e2,1984_wfa_nationals,Open Sgls Consecutive,1,Pat Castle,fb644300-e5a4-51ca-962f-e59dad795b03,Pat Castle,MATCHED,FBW
0a944f1ff2,1984_wfa_nationals,Open Golf,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
e84423cbcc,1984_wfa_nationals,Open Golf,2,Tim Mackey,5e46bdbe-bbbb-5cca-aacb-d5edf9bf2540,Tim Mackey,MATCHED,FBW
dd9b2f1b67,1984_wfa_nationals,Open Golf,3,Tobin Wigger,f38e2f8e-cba6-5fff-8b20-90791fd0d794,Torben Wigger,MATCHED,FBW
d3aaf6bc07,1985_wfa_nationals,Men's Overall,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
0a98adc065,1985_wfa_nationals,Women's Overall,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
22af5de874,1985_wfa_nationals,Open Sgls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
