event_id,year,event_name,event_type,division_raw,division_canon,place,competitor_type,player1_name,player2_name
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,2,team,Ruth Osterman,Vanessa Sabala
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,Nancy Reynolds,"Greg Cortopassi, 3rd -Cheryl Hughes"
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,David Robinson,Jim Caveney
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,Scott Cleere,Bill Bethurum
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,Mag Hughes,Gary Lautt
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,Lee Guenther,Mike Mueller
2001984001,1984,World Championships 1984,mixed,WOMEN'S FREESTYLE,Women's Freestyle,1,team,Jodi Chandler,Tricia George
2001984001,1984,World Championships 1984,mixed,WOMEN'S GOLF,Women's Golf,1,player,Tricia George,
2001984001,1984,World Championships 1984,mixed,WOMEN'S GOLF,Women's Golf,2,player,Constance Constable,
2001984001,1984,World Championships 1984,mixed,WOMEN'S GOLF,Women's Golf,3,player,Vanessa Sabala,
2001984001,1984,World Championships 1984,mixed,WOMEN'S OVERALL,Women's Overall,1,player,Tricia George,
2001984001,1984,World Championships 1984,mixed,MEN'S OVERALL,Men's Overall,1,player,Mag Hughes,
2001984001,1984,World Championships 1984,mixed,MIXED DOUBLES NET,Mixed Doubles Net,1,team,Tricia George,David Robinson
2001984001,1984,World Championships 1984,mixed,GOLF,Golf,1,player,Ken Shults,
2001984001,1984,World Championships 1984,mixed,GOLF,Golf,2,player,Tim Mackey,
2001984001,1984,World Championships 1984,mixed,GOLF,Golf,3,player,Torben Wigger,
2001984001,1984,World Championships 1984,mixed,ADVANCED SINGLES NET,Advanced Singles Net,1,player,Mag Hughes,
