person_id,person_canon,trick_canon,trick_type,mentions,first_year,last_year,event_count,sample_event,sample_line
2b72150a-23a0-5c22-864d-86e32a01f185,Brendan Erskine,blur,full_trick,1,2002,2002,1,,2 - Brendan Erskine (butterfly>blur>ducking butterfly)
2b72150a-23a0-5c22-864d-86e32a01f185,Brendan Erskine,osis,full_trick,1,2003,2003,1,,1. Brendan Erskine - Helical mirage (frigid osis set sailing mirage)
2b72150a-23a0-5c22-864d-86e32a01f185,Brendan Erskine,paradox mirage,full_trick,1,2001,2001,1,,4th - Brendan Erskine (toe set dlo>ducking butterfly>paradox mirage)
96456a6d-5895-58ab-8175-9408424e79d1,Brett Campbell,fog,full_trick,1,2005,2005,1,,3) Brett Campbell - Beta Fog
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,ducking,style_term,1,2014,2014,1,,1. Brian Sherrill (USA) - spinning ducking osis > mobius > spender
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,gyro,style_term,1,2013,2013,1,,3. Brian Sherrill (USA) - double spinning clipper > spinning whirl > gyro double legover
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,legover,full_trick,1,2013,2013,1,,3. Brian Sherrill (USA) - double spinning clipper > spinning whirl > gyro double legover
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,spinning clipper,full_trick,1,2013,2013,1,,3. Brian Sherrill (USA) - double spinning clipper > spinning whirl > gyro double legover
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,spinning whirl,full_trick,1,2013,2013,1,,3. Brian Sherrill (USA) - double spinning clipper > spinning whirl > gyro double legover
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,whirl,full_trick,1,2013,2013,1,,3. Brian Sherrill (USA) - double spinning clipper > spinning whirl > gyro double legover
4db4e8fb-1a65-50c3-93ac-0c7b5ee74e3d,Budás Bálint,dimwalk,full_trick,1,2005,2005,1,,4. Budás Bálint (Dimwalk>Foodprocessor>PS Whirl)
4db4e8fb-1a65-50c3-93ac-0c7b5ee74e3d,Budás Bálint,whirl,full_trick,1,2005,2005,1,,4. Budás Bálint (Dimwalk>Foodprocessor>PS Whirl)
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,atomic,style_term,1,2005,2005,1,,1) Byrin Wylie - Atomic Torque
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,blurriest,full_trick,1,2007,2007,1,,2- Byrin Wylie (blurry whirl> blurry whirl> blurriest)
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,fusion,full_trick,1,2008,2008,1,,1) Byrin Wylie - sumo > fusion > symp torque
