chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_index,normalized_trick,original_tokens,merge_window,was_merged,adds,merge_method
1137347261_10,1137347261,2006,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,,context_window,1,pixie,pixie,1,False,2.0,unresolved_modifier
1137347261_12,1137347261,2006,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,,context_window,0,dimwalk,pixie|butterfly,2,True,4.0,alias_match
1137347261_28,1137347261,2006,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,,context_window,0,whirl,whirl,1,False,3.0,direct
1137347261_28,1137347261,2006,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,,context_window,1,whirl,whirl,1,False,3.0,direct
1137347261_30,1137347261,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,context_window,0,blurry whirl,blurry whirl,1,False,5.0,direct
1137347261_30,1137347261,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,context_window,1,spinning,spinning,1,False,,unresolved_modifier
1137347261_32,1137347261,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,,context_window,0,blur,blur,1,False,4.0,direct
1137347261_32,1137347261,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,,context_window,1,parkwalk,parkwalk,1,False,4.0,direct
1137347261_8,1137347261,2006,5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,,context_window,0,ripwalk,ripwalk,1,False,4.0,direct
1137347261_8,1137347261,2006,5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,,context_window,1,spinning osis,spinning osis,1,False,4.0,direct
1138601883_20,1138601883,2006,58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,,direct,0,dimwalk,dimwalk,1,False,4.0,direct
1138601883_20,1138601883,2006,58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,,direct,1,ripwalk,ripwalk,1,False,4.0,direct
1138601883_20,1138601883,2006,58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,,direct,2,mirage,mirage,1,False,2.0,direct
1138601883_29,1138601883,2006,c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,,direct,0,clipper,clipper,1,False,2.0,direct
1138601883_29,1138601883,2006,c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,,direct,1,legover,legover,1,False,2.0,direct
1138601883_29,1138601883,2006,c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,,direct,2,butterfly,butterfly,1,False,3.0,direct
1138601883_30,1138601883,2006,9ffd9877-c7d3-5bdb-a4d0-cc00e8225245,Kenny Perng,,direct,0,mirage,mirage,1,False,2.0,direct
1138601883_30,1138601883,2006,9ffd9877-c7d3-5bdb-a4d0-cc00e8225245,Kenny Perng,,direct,1,clipper,clipper,1,False,2.0,direct
1138601883_30,1138601883,2006,9ffd9877-c7d3-5bdb-a4d0-cc00e8225245,Kenny Perng,,direct,2,clipper,clipper,1,False,2.0,direct
1138601883_31,1138601883,2006,513c8bcf-4c53-5b90-8c71-a823c1f917a2,Stu Sapia,,direct,0,pixie,pixie,1,False,2.0,unresolved_modifier
1138601883_31,1138601883,2006,513c8bcf-4c53-5b90-8c71-a823c1f917a2,Stu Sapia,,direct,1,pickup,pickup,1,False,2.0,direct
1138601883_8,1138601883,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,,direct,0,fog,fog,1,False,5.0,direct
1138601883_8,1138601883,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,,direct,1,mirage,mirage,1,False,2.0,direct
1143172220_44,1143172220,2006,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,,context_window,0,drifter,drifter,1,False,3.0,direct
