chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,original_length,normalized_length,tokens_consumed_by_merges,merges_performed,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks_normalized
1125936037_132,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,5,5,0,0,5,0,18.0,3.6,5.0,blurry whirl>ripwalk>whirl>pixie>paradox whirl
1125936037_134,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,3,3,0,0,2,1,5.0,1.667,3.0,smear>atomic>pixie
1125936037_135,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,3,3,0,0,3,0,13.0,4.333,5.0,ripwalk>ripwalk>blurry whirl
1126086921_37,1126086921,2005,4d352728-74b6-51db-aa04-1cf6d24b7cc7,Damian Piechocki,,context_window,2,2,0,0,2,0,10.0,5.0,5.0,blurry whirl>paradox blender
1126086921_41,1126086921,2005,2863264e-bf65-5f88-aef4-0b89332b7a29,Hubert Godlewski,,context_window,2,2,0,0,2,0,8.0,4.0,5.0,paradox blender>whirl
1127155729_16,1127155729,2005,befb0f76-73f3-5021-bfa3-b62e1c6400bd,Piotr Czaja,,context_window,2,2,0,0,2,0,8.0,4.0,5.0,whirl>superfly
1127155729_17,1127155729,2005,3a35aed5-508b-5278-847d-8a49e80d7b6f,Tomek Ostrowski,,direct,2,2,0,0,2,0,7.0,3.5,4.0,torque>whirl
1127155729_18,1127155729,2005,a3781ac2-c529-5316-b22b-2bdcfa67bb67,Damian Budzik,,direct,2,2,0,0,2,0,7.0,3.5,4.0,blender>whirl
1127155729_19,1127155729,2005,495fbdce-986d-523e-9b01-f699a035c4ef,Tomasz Wróbel,,direct,2,2,0,0,2,0,8.0,4.0,4.0,dimwalk>ripwalk
1135116604_120,1135116604,2006,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,direct,2,2,0,0,2,0,9.0,4.5,5.0,superfly>blender
1135116604_121,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,direct,2,2,0,0,2,0,9.0,4.5,5.0,torque>superfly
1135116604_124,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,2,0,0,2,0,5.0,2.5,3.0,flurry>pixie
