chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_length,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks
1185458086_28,1185458086,2007,71d9c0ca-ac16-53a7-b604-d4ee36eaee28,Król Tomasz,,context_window,2,1,1,4.0,2.0,4.0,spinning>dimwalk
1185458086_30,1185458086,2007,71d9c0ca-ac16-53a7-b604-d4ee36eaee28,Król Tomasz,,context_window,3,3,0,11.0,3.667,5.0,drifter>blurriest>eggbeater
1188233129_12,1188233129,2007,,,,none,2,2,0,7.0,3.5,4.0,blur>butterfly
1188233129_13,1188233129,2007,,,,none,3,3,0,15.0,5.0,5.0,blurry whirl>blurry whirl>blurriest
1188233129_14,1188233129,2007,,,,none,3,3,0,12.0,4.0,5.0,blurry whirl>ripwalk>whirl
1188233129_16,1188233129,2007,,,,none,3,3,0,11.0,3.667,4.0,dimwalk>ripwalk>butterfly
1193783964_10,1193783964,2008,,,,none,2,0,2,,,,stepping>ducking
1193783964_6,1193783964,2008,,,,none,2,2,0,6.0,3.0,3.0,whirl>whirl
1195773772_26,1195773772,2007,,,,none,3,1,2,3.0,1.0,3.0,drifter>spinning>tapping
1195773772_28,1195773772,2007,,,,none,2,2,0,11.0,5.5,6.0,food processor>mobius
1200325415_98,1200325415,2008,,,,none,3,3,0,11.0,3.667,4.0,paradox mirage>blur>symposium whirl
1200725314_3,1200725314,2008,,,,none,3,3,0,11.0,3.667,5.0,whirl>whirl>paradox torque
1200725314_4,1200725314,2008,,,,none,3,3,0,10.0,3.333,4.0,ripwalk>whirl>whirl
1204904987_42,1204904987,2008,2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,,context_window,3,3,0,10.0,3.333,5.0,pixie>blurry whirl>whirl
1204904987_43,1204904987,2008,2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,,context_window,2,2,0,7.0,3.5,4.0,ripwalk>whirl
1204904987_44,1204904987,2008,2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,,context_window,3,3,0,9.0,3.0,4.0,dimwalk>drifter>legover
1204904987_45,1204904987,2008,2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,,context_window,3,3,0,8.0,2.667,3.0,ducking clipper>drifter>legover
1216849705_29,1216849705,2008,fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,,context_window,5,5,0,18.0,3.6,4.0,blur>dimwalk>swirl>smear>dimwalk
1216849705_30,1216849705,2008,fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,,context_window,3,3,0,11.0,3.667,4.0,ripwalk>ripwalk>swirl
1216849705_31,1216849705,2008,fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,,context_window,2,2,0,5.0,2.5,3.0,butterfly>mirage
1216849705_33,1216849705,2008,fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,,context_window,7,7,0,22.0,3.143,4.0,butterfly>whirl>osis>dimwalk>osis>butterfly>swirl
1216849705_36,1216849705,2008,fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,,context_window,2,2,0,6.0,3.0,3.0,swirl>swirl
1216849705_40,1216849705,2008,fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,,context_window,2,2,0,8.0,4.0,4.0,ducking butterfly>dimwalk
1219405634_116,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,1,1,2.0,1.0,2.0,clipper>ducking
1219405634_120,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,2,0,6.0,3.0,3.0,drifter>spinning clipper
1219405634_123,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,3,2,1,5.0,1.667,3.0,legover>drifter>stepping
1219405634_125,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,3,2,1,6.0,2.0,3.0,ducking clipper>ducking>whirl
1219405634_128,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,1,1,3.0,1.5,3.0,stepping>eggbeater
1219405634_131,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,2,0,7.0,3.5,4.0,butterfly>spinning osis
1219405634_134,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,2,0,8.0,4.0,4.0,blender>atom smasher
1219405634_137,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,3,3,0,11.0,3.667,4.0,osis>paradox whirl>symposium whirl
1219405634_140,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,2,0,6.0,3.0,4.0,mirage>spinning osis
1219405634_143,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,2,0,6.0,3.0,3.0,eggbeater>drifter
1219405634_146,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,0,2,,,,stepping>atomic
1219405634_149,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,3,2,1,6.0,2.0,3.0,whirl>eggbeater>symposium
1219405634_98,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,2,2,0,7.0,3.5,4.0,drifter>torque
1219405634_99,1219405634,2008,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,3,1,2,4.0,1.333,4.0,barraging>symposium dlo>atomic
1222687523_131,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,2,2,0,4.0,2.0,2.0,legover>pixie
