person_id,person_canon,score_type,score_mentions,scored_events,min_score,max_score,avg_score,first_year,last_year,sample_event,sample_line
6be990dc-a556-51ae-b2f1-78d9b38c1d8e,Toby Robinson,raw_integer,2,1,130.63,130.63,130.63,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,9. Toby Robinson - 130.63
96456a6d-5895-58ab-8175-9408424e79d1,Brett Campbell,raw_integer,2,1,128.9,128.9,128.9,2005,2005,The Hackrifice Open 2005,2) Brett Campbell - 128.9
1f864e5e-28bc-5370-8f30-49bc3c65c64c,Jeremy Masselis,raw_integer,2,1,123.0,123.0,123.0,2007,2007,Championnats de France de Footbag,"2- Jeremy Masselis : 123,34"
6d50650f-7f41-5484-894f-74986085f48b,Martin Cote,raw_integer,2,1,122.0,122.0,122.0,2018,2018,Lake Erie Footbag Tournament & Freestyle Jam,3. Luc Legault ID: 36301 / Martin Cote ID: 12260
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,raw_integer,2,1,118.3,118.3,118.3,2005,2005,The Hackrifice Open 2005,3) Byrin Wylie - 118.3
8069a4cf-1543-5a0a-bf83-92edff9e120f,Maxime Boucoiran,raw_integer,2,1,118.0,118.0,118.0,2007,2007,Championnats de France de Footbag,"3- Maxime Boucoiran : 118,46"
401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,raw_integer,2,1,113.0,113.0,113.0,2009,2009,Zocha Jam 2009,8. Maciej Niczyporuk - 113 pkt
b41cedc4-cb5f-5d49-899f-5a04af4092da,Klemenz Längauer,raw_integer,2,1,110.0,110.0,110.0,2007,2007,Austrian Footbag Championships 2007,"5. Klemens Längauer - 110,38"
10f0e26c-4ec9-5916-bc9b-ff587c0681d4,Eric Chan,raw_integer,2,1,107.7,107.7,107.7,2005,2005,The Hackrifice Open 2005,4) Erik Chan - 107.7
e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,raw_integer,2,1,102.0,102.0,102.0,2005,2005,The Hackrifice Open 2005,5) Rory Dawson - 102. 1
e886f2c6-2560-5f06-9077-d0dcb41614a6,Avery McCombs,raw_integer,2,1,101.68,101.68,101.68,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,10. Avery McCombs - 101.68
2daa07f5-d830-521e-af6e-4a39cd094e92,Chad Devlahovich,raw_integer,2,1,99.31,99.31,99.31,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,11. Chad Devlahovich - 99.31
92d46e52-ae22-54a4-a848-fe8cdb118f30,Richard Abshire,raw_integer,2,1,97.92,97.92,97.92,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,12. Richard Abshire - 97.92
d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,raw_integer,2,1,94.34,94.34,94.34,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,13. Ken Somolinos - 94.34
0cc59803-c375-5573-8a7c-90201837b32b,Cameron Kennedy,raw_integer,2,1,94.15,94.15,94.15,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,14. Cameron Kennedy - 94.15
162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,raw_integer,2,1,84.0,84.0,84.0,2006,2006,7th Annual Colorado Shred Symposium,2. Dylan Johnson - 84
226d0da7-f659-5870-a9ac-6bff94c85319,Sunny Freeman-Genz,raw_integer,2,1,75.5,75.5,75.5,2006,2006,7th Annual Colorado Shred Symposium,3. Sunny Freeman Genz- 75.5
a50d8f07-9139-5fe3-9bed-fc4723872d4e,Shannon Anderson,raw_integer,2,1,74.0,74.0,74.0,2001,2001,COLORADO SHRED SYMPOSIUM 2,7. Shannon Anderson--74
4cbec9a2-d07a-5400-b645-ce6e573e93b2,Chrisoph Larndorfer,raw_integer,2,1,73.0,73.0,73.0,2007,2007,Austrian Footbag Championships 2007,"6. Chrisoph Larndorfer - 73,38"
b692f69a-35c0-5cdf-b786-a3ce86d7d9d6,Derric Scalf,raw_integer,2,1,73.0,73.0,73.0,1998,1998,1998 Southern Regional Footbag Championships,4. Derric Scalf - 73
e0f19cce-5d6a-5f62-847a-bd05ef24b11b,Jeremy Keller Auburn,raw_integer,2,1,71.0,71.0,71.0,1998,1998,1998 Southern Regional Footbag Championships,3. Jeremy Keller - 71
051c1b5e-f34d-5e7b-a27c-50f94324c96d,Eric Burgess,raw_integer,2,1,70.0,70.0,70.0,1998,1998,1998 Southern Regional Footbag Championships,2. Eric Burgess - 70
eae790d9-83f5-5339-8828-c641f33ec86d,Nathan Pipenberg,raw_integer,2,1,69.0,69.0,69.0,2006,2006,2006 Steel City Shred Off,3) Nathan Pipenberg - 69
12144bd1-1a64-5e79-ba8c-2e64c2de69f9,James Roberts,raw_integer,2,1,67.0,67.0,67.0,1998,1998,1998 Southern Regional Footbag Championships,1. James Roberts - 67
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,raw_integer,2,1,66.46,66.46,66.46,2006,2006,7th Annual Colorado Shred Symposium,4. Chris Balch - 66.46
40fa16ff-a418-5da9-914e-3a09e231f2a7,Bill Langbehn,raw_integer,2,1,66.0,66.0,66.0,1997,1997,Western Regional Footbag Championships,2. Bill Langbehn - 66
6a885ca2-769c-5b8e-9b4b-d94b60f94246,Nick Jaros,raw_integer,2,1,62.0,62.0,62.0,1999,1999,1999 Western Regional Footbag Championships,3. Nick Jaros - 62
26e40173-e0b2-5d76-99b7-61a202886550,Melissa Schneider,raw_integer,2,1,57.93,57.93,57.93,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,15. Melissa Schneider - 57.93
3eebd90a-e974-54b7-9ae7-16c7352c8e91,Mark Husted,raw_integer,2,1,55.91,55.91,55.91,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,16. Mark Husted - 55.91
2196c6c7-92a7-5243-a1b9-278c2c8f33e4,Hugh Harrell,raw_integer,2,1,54.0,54.0,54.0,1999,1999,1999 Western Regional Footbag Championships,2. Hugh Harrell - 54
b1f1ebbc-9b2a-58f9-bb36-6c8b6d751f19,Ben Little,raw_integer,2,1,53.0,53.0,53.0,1999,1999,1999 Western Regional Footbag Championships,1. Ben Little - 53
1fcbaa9b-9f74-56eb-9429-7f9d46f5c722,Brent Allard,raw_integer,2,1,53.0,53.0,53.0,1999,1999,1999 Western Regional Footbag Championships,3. Brent Allard - 53
e2a90d21-3f84-5e96-b568-8750b69ca493,Ali Djastranj,raw_integer,2,1,51.0,51.0,51.0,2007,2007,Austrian Footbag Championships 2007,"7. Ali Dastrandj - 51,32"
e8e76f56-0e5f-5873-902d-2c5eb571ecc0,Dave Wedertz,raw_integer,2,1,50.0,50.0,50.0,1999,1999,1999 Western Regional Footbag Championships,2. Dave Wedertz - 50
d5e3365e-ca56-5337-84fd-eaac9b7d7de4,Erik Magnusson,raw_integer,2,1,49.2,49.2,49.2,2005,2005,The Hackrifice Open 2005,1) Erik Magnusson - 49.2
b99dcaef-c269-5484-adc1-790a4512adb5,Cameron Carnegie,raw_integer,2,1,47.0,47.0,47.0,1997,1997,14th Annual Emerald City Open Footbag Championships,3. Cameran Carnegie - 47
6fbf0925-b1f2-5ca4-b314-d29ce081219b,Darlene Goodridge,raw_integer,2,1,47.0,47.0,47.0,1997,1997,14th Annual Emerald City Open Footbag Championships,2. Darlene Goodridge - 47
be913bdb-7b5c-51c2-9e11-afa2c03b7297,Mike Jauss,raw_integer,2,1,46.25,46.25,46.25,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,17. Mike Jauss - 46.25
02439d85-0006-551d-a25b-434d61071e9c,Jason Kingsley,raw_integer,2,1,46.0,46.0,46.0,1997,1997,14th Annual Emerald City Open Footbag Championships,1. Jason Kingsley - 46
c256196e-aeb4-5011-9dce-81719a307619,Erroll Stryker,raw_integer,2,1,44.0,44.0,44.0,2003,2003,Funtastik Summer Classic Footbag Tournament,5. Errol Stryker-44
86e02868-8a77-5e1f-9783-e7b43e95ddb2,Jason Varvaro,raw_integer,2,1,44.0,44.0,44.0,2003,2003,Funtastik Summer Classic Footbag Tournament,3. Jason Varvaro- 44 (tie breaker)
38235b83-a291-534d-ae4b-6ba8c6d6bf67,Matt Vilade,raw_integer,2,1,44.0,44.0,44.0,2003,2003,Funtastik Summer Classic Footbag Tournament,4. Matt Vilade- 44
edb7ff85-0dae-5590-b5df-ac61cd472031,Ben Kellman,raw_integer,2,1,42.0,42.0,42.0,2003,2003,Funtastik Summer Classic Footbag Tournament,2. Ben Kellman- 42
1e11a981-de87-536a-abdb-31030a1ce540,Effram Press,raw_integer,2,1,41.0,41.0,41.0,2003,2003,Funtastik Summer Classic Footbag Tournament,1. Effram Press- 41
0bf96614-8396-5c18-bdb0-501af1fa9c81,Aaron Gregg,raw_integer,2,1,39.0,39.0,39.0,1997,1997,14th Annual Emerald City Open Footbag Championships,2. Aaron Gregg - 39
881eff63-e268-508d-8416-86d6979230f3,Nathan Martinez,raw_integer,2,1,38.16,38.16,38.16,2001,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,18. Nathan Martinez - 38.16
8cf04727-1ddc-5d6a-9680-9581a4466522,André Lemaire,raw_integer,2,1,38.0,38.0,38.0,1999,1999,16th Annual Emerald City Open,3. Andre Lemaire - 38
6e298b9e-2cc2-50d3-9665-50993e5564d5,Gibson Holub,raw_integer,2,1,38.0,38.0,38.0,1999,1999,16th Annual Emerald City Open,2. Gibson Holub - 38 (tie concession)
995b3cb0-5d4d-5695-9413-3c7d4110f481,Jon Felix,raw_integer,2,1,37.0,37.0,37.0,2003,2003,Funtastik Summer Classic Footbag Tournament,4. Jon Felix- 37
ceb19bce-3ebd-5c57-bebb-aa545ba79aa6,Jon Hayduk,raw_integer,2,1,36.0,36.0,36.0,1997,1997,14th Annual Emerald City Open Footbag Championships,1. Jon Hayduk - 36
e5eca718-d710-54a4-a38a-9b3df2de3a21,Matt Matson,raw_integer,2,1,36.0,36.0,36.0,2005,2005,Funtastik Summer Classic,1. Matt Matson- 36
de3e9581-85a2-520b-92e5-d48c0d7f8bd2,Jeremy Walters,raw_integer,2,1,35.0,35.0,35.0,2003,2003,Funtastik Summer Classic Footbag Tournament,3. Jeremy Walters- 35
5812096d-611b-5ca7-a4c0-bc30d45b67f4,Rick Bates,raw_integer,2,1,35.0,35.0,35.0,2000,2000,Emerald City Open,1. Rick Bates - 35
3ff6ba8b-ae30-553e-81f9-18538fb5c86b,Jessica Archer,raw_integer,2,1,33.3,33.3,33.3,2005,2005,The Hackrifice Open 2005,2) Jessica Archer - 33.3
98e6bef0-c1f7-5bb2-b99c-a31a359e2540,Dr. Mike Stefanelli,raw_integer,2,1,31.0,31.0,31.0,1997,1997,14th Annual Emerald City Open Footbag Championships,"2. Dr. Mike Stefanelli - 31 (3-Way tie, 1 hole playoff)"
53335424-f4eb-5933-8b9b-939b6f177ea2,Scott Milne,raw_integer,2,1,31.0,31.0,31.0,1997,1997,14th Annual Emerald City Open Footbag Championships,4. Scott Milne - 31
08ecb6e2-5ae2-539e-a4be-41cb2d98524b,Garth Smith,raw_integer,2,1,30.0,30.0,30.0,2003,2003,Funtastik Summer Classic Footbag Tournament,2. Garth Smith- 30 prize
2fba2bff-d73a-5082-ad4c-b956439788bd,Geoff Hand,raw_integer,2,1,30.0,30.0,30.0,1999,1999,16th Annual Emerald City Open,1. Geoff Hand - 30
3e46c4db-089a-55ed-a5ff-f0ce0ed793f3,Jamie Lepley,golf_score,2,1,29.0,29.0,29.0,2003,2003,Funtastik Summer Classic Footbag Tournament,1. Jamie Lepley- 29 $50
b41cedc4-cb5f-5d49-899f-5a04af4092da,Klemenz Längauer,golf_score,2,1,29.0,29.0,29.0,2007,2007,Austrian Footbag Championships 2007,3. Klemens Längauer - 29
600c7e31-01f3-50f4-9a65-c79c13691920,Bernhard Leiner,golf_score,2,1,28.0,28.0,28.0,2007,2007,Austrian Footbag Championships 2007,2. Bernhard Leiner - 28
64337714-3133-53d6-b29a-511ae9f14920,Greg Durrett,golf_score,2,1,27.0,27.0,27.0,1998,1998,15th Annual Emerald City Open,4. Greg Durrett - 27
97771593-c865-5ac9-b7bf-c76ba6159476,Greg Potts,golf_score,2,1,27.0,27.0,27.0,1998,1998,15th Annual Emerald City Open,3. Greg Potts - 27 (tie concession)
e2a90d21-3f84-5e96-b568-8750b69ca493,Ali Djastranj,golf_score,2,1,26.0,26.0,26.0,2007,2007,Austrian Footbag Championships 2007,1. Ali Dastrandj - 26
40fa16ff-a418-5da9-914e-3a09e231f2a7,Bill Langbehn,golf_score,2,1,24.0,24.0,24.0,1998,1998,15th Annual Emerald City Open,1. Bill Langbehn - 24
02095322-bd6e-52a6-9f2d-6b5a7a527eae,Jana Sassakova,freestyle_judging,2,1,20.4,20.4,20.4,2017,2017,19th Annual IFPA European Footbag Championships,2. Jana Sassakova - 20.4
a737859a-35f6-51c8-9cd1-d5f54f88b8dd,Gosia Debska,freestyle_judging,2,1,17.9,17.9,17.9,2017,2017,19th Annual IFPA European Footbag Championships,3. Gosia Debska - 17.9
e528ca88-e462-5870-bd7f-45fb49bfbcfc,Arthur Ledain,freestyle_judging,2,1,17.3,17.3,17.3,2017,2017,19th Annual IFPA European Footbag Championships,3. Arthur Ledain - 17.3
7c74c3f5-dc54-5e47-8365-e84497f4c943,Aleksi Airinen,freestyle_judging,2,1,16.8,16.8,16.8,2017,2017,19th Annual IFPA European Footbag Championships,3. Aleksi Airinen - 16.8
171e6321-c025-5483-af9d-c92b2ee04806,Tuomas Riisalo,freestyle_judging,2,1,14.3,14.3,14.3,2017,2017,19th Annual IFPA European Footbag Championships,3. Tuomas Riisalo - 14.3
766b89e4-c947-5434-b6b1-d590bd9929e3,Nina Stuppacher,freestyle_judging,2,1,14.2,14.2,14.2,2017,2017,19th Annual IFPA European Footbag Championships,4. Nina Stuppacher - 14.2
0f60f82c-75c9-552f-b962-5832d5cda779,Sergio Garcia,freestyle_judging,2,1,14.2,14.2,14.2,2017,2017,19th Annual IFPA European Footbag Championships,4. Sergio Garcia - 14.2
a81adde6-197e-5067-872a-b05092e75cf9,Nis Petersen,freestyle_judging,2,1,12.5,12.5,12.5,2017,2017,19th Annual IFPA European Footbag Championships,5. Nis Petersen - 12.5
7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,freestyle_judging,2,1,12.3,12.3,12.3,2017,2017,19th Annual IFPA European Footbag Championships,5. Dorota Wojtasiuk - 12.3
403742dd-27cb-5ebc-a0db-4382eaccfe64,Sergio Hernandez,freestyle_judging,2,1,11.4,11.4,11.4,2017,2017,19th Annual IFPA European Footbag Championships,5. Sergio Hernandez - 11.4
32bbbcf6-957d-5549-9658-1aa7c742aa74,Felix Vogelsanger,freestyle_judging,2,1,10.0,10.0,10.0,2017,2017,19th Annual IFPA European Footbag Championships,6. Felix Vogelsanger - 10.0
08bad299-35e4-5311-a847-3f7d78cbeef6,Nico Gasser,freestyle_judging,2,1,9.4,9.4,9.4,2017,2017,19th Annual IFPA European Footbag Championships,4. Nico Gasser - 9.4
d25f994e-0337-5fc5-923d-8f1c88d4a44d,Flurin Bischoff,freestyle_judging,2,1,8.5,8.5,8.5,2017,2017,19th Annual IFPA European Footbag Championships,5. Flurin Bischoff - 8.5
