event_id,year,event_name,line_no,line_raw,line_class,name_raw,person_id,person_canon,match_type,score_raw,score_value,score_type,extract_method,filter_reason
1185556078,2007,Austrian Footbag Championships 2007,37,2. Bernhard Leiner - 28,result_score,Bernhard Leiner,600c7e31-01f3-50f4-9a65-c79c13691920,Bernhard Leiner,exact,28,28.0,golf_score,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,38,3. Klemens Längauer - 29,result_score,Klemens Längauer,b41cedc4-cb5f-5d49-899f-5a04af4092da,Klemenz Längauer,exact,29,29.0,golf_score,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,38,3. Klemens Längauer - 29,result_score,Klemens Längauer,b41cedc4-cb5f-5d49-899f-5a04af4092da,Klemenz Längauer,exact,29,29.0,golf_score,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,39,4. Alexander Trenner - 31,result_score,Alexander Trenner,24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,exact,31,31.0,raw_integer,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,39,4. Alexander Trenner - 31,result_score,Alexander Trenner,24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,exact,31,31.0,raw_integer,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,41,"1. Paul Cronjäger - 186,06",result_score,Paul Cronjäger,be1b4187-c73a-58a6-beb7-1bba61be3f28,Paul Cronjaeger,exact,186,186.0,raw_integer,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,41,"1. Paul Cronjäger - 186,06",result_score,Paul Cronjäger,be1b4187-c73a-58a6-beb7-1bba61be3f28,Paul Cronjaeger,exact,186,186.0,raw_integer,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,42,"2. Alexander Trenner - 158,52",result_score,Alexander Trenner,24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,exact,158,158.0,raw_integer,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,42,"2. Alexander Trenner - 158,52",result_score,Alexander Trenner,24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,exact,158,158.0,raw_integer,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,43,"3. Rene Rühr - 138,83",result_score,Rene Rühr,9585ffd8-cc96-528e-ba4a-4211da8cef00,Rene Ruehr,exact,138,138.0,raw_integer,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,43,"3. Rene Rühr - 138,83",result_score,Rene Rühr,9585ffd8-cc96-528e-ba4a-4211da8cef00,Rene Ruehr,exact,138,138.0,raw_integer,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,44,"4. Matthias Schmidt - 136,36",result_score,Matthias Schmidt,,,unresolved,136,136.0,raw_integer,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,44,"4. Matthias Schmidt - 136,36",result_score,Matthias Schmidt,,,unresolved,136,136.0,raw_integer,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,45,"5. Klemens Längauer - 110,38",result_score,Klemens Längauer,b41cedc4-cb5f-5d49-899f-5a04af4092da,Klemenz Längauer,exact,110,110.0,raw_integer,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,45,"5. Klemens Längauer - 110,38",result_score,Klemens Längauer,b41cedc4-cb5f-5d49-899f-5a04af4092da,Klemenz Längauer,exact,110,110.0,raw_integer,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,46,"6. Chrisoph Larndorfer - 73,38",result_score,Chrisoph Larndorfer,4cbec9a2-d07a-5400-b645-ce6e573e93b2,Chrisoph Larndorfer,exact,73,73.0,raw_integer,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,46,"6. Chrisoph Larndorfer - 73,38",result_score,Chrisoph Larndorfer,4cbec9a2-d07a-5400-b645-ce6e573e93b2,Chrisoph Larndorfer,exact,73,73.0,raw_integer,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,47,"7. Ali Dastrandj - 51,32",result_score,Ali Dastrandj,e2a90d21-3f84-5e96-b568-8750b69ca493,Ali Djastranj,exact,51,51.0,raw_integer,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,47,"7. Ali Dastrandj - 51,32",result_score,Ali Dastrandj,e2a90d21-3f84-5e96-b568-8750b69ca493,Ali Djastranj,exact,51,51.0,raw_integer,name_score_inline,
1195585401,2008,The 2008 Green Cup Presented by Chaos,64,"1. Florian Goetze / Lisa McDaniel (El Cerrito, CA, USA) [Final: 15-13, 15-10]",result_score,Florian Goetze / Lisa McDaniel,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,exact,15,15.0,golf_score,placement_line_tail_score,
1195585401,2008,The 2008 Green Cup Presented by Chaos,64,"1. Florian Goetze / Lisa McDaniel (El Cerrito, CA, USA) [Final: 15-13, 15-10]",result_score,Final,,,unresolved,15,15.0,reject,name_score_inline,score_classifier_reject
1208345952,2008,9th Annual Turku Open,21,"1. Jani Markkanen (final 11-8, 9-11, 11-6)",result_score,Jani Markkanen,0dee73bb-caed-5f5c-9c20-5ea946939871,Jani Sakari Markkanen,exact,8,8.0,golf_score,placement_line_tail_score,
1235653935,2009,11th Annual IFPA European Footbag Championships - Strzelin,114,1. Milan Benda - 246 (Czechy),result_score,Milan Benda,0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,exact,246,246.0,raw_integer,placement_line_tail_score,
1235653935,2009,11th Annual IFPA European Footbag Championships - Strzelin,114,1. Milan Benda - 246 (Czechy),result_score,Milan Benda,0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,exact,246,246.0,raw_integer,name_score_inline,
1235653935,2009,11th Annual IFPA European Footbag Championships - Strzelin,119,"6. Mariusz Wilk - 144,83 (Warszawa)",result_score,Mariusz Wilk,4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,exact,144,144.0,raw_integer,placement_line_tail_score,
1235653935,2009,11th Annual IFPA European Footbag Championships - Strzelin,119,"6. Mariusz Wilk - 144,83 (Warszawa)",result_score,Mariusz Wilk,4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,exact,144,144.0,raw_integer,name_score_inline,
