event_id,year,person_id,person_canon,attribution_confidence,chain_id,sequence_index,trick_canon
1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,context_window,1095965765_7,0,blurry whirl
1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,context_window,1095965765_7,1,paradox whirl
1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,context_window,1095965765_9,0,dimwalk
1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,context_window,1095965765_9,1,whirl
1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,context_window,1095965765_11,0,ripwalk
1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,context_window,1095965765_11,1,blur
1096318324,2004,ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,direct,1096318324_18,0,blur
1096318324,2004,ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,direct,1096318324_18,1,smear
1096318324,2004,ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,direct,1096318324_18,2,butterfly
1096318324,2004,ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,context_window,1096318324_19,0,blur
1096318324,2004,ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,context_window,1096318324_19,1,smear
1096318324,2004,48268322-19d9-5180-aac2-241293167d21,Nick Landes,direct,1096318324_20,0,blur
1096318324,2004,48268322-19d9-5180-aac2-241293167d21,Nick Landes,direct,1096318324_20,1,whirl
1096318324,2004,48268322-19d9-5180-aac2-241293167d21,Nick Landes,direct,1096318324_20,2,drifter
1096318324,2004,bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,context_window,1096318324_28,0,mirage
1096318324,2004,bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,context_window,1096318324_28,1,atom smasher
1096318324,2004,ab216b72-e80d-526e-ba50-e8dd93866623,Ricky Moran,context_window,1096318324_31,0,whirl
1096318324,2004,ab216b72-e80d-526e-ba50-e8dd93866623,Ricky Moran,context_window,1096318324_31,1,whirl
1102576153,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,direct,1102576153_68,0,blender
1102576153,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,direct,1102576153_68,1,superfly
1102576153,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,direct,1102576153_68,2,spinning
1102576153,2005,1e09ba09-ec4b-5961-8b95-e0d638dc4f5c,Jan Weber,direct,1102576153_69,0,torque
1102576153,2005,1e09ba09-ec4b-5961-8b95-e0d638dc4f5c,Jan Weber,direct,1102576153_69,1,paradox blender
1109682847,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,direct,1109682847_9,0,whirl
1109682847,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,direct,1109682847_9,1,spinning
1109682847,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,direct,1109682847_10,0,fog
1109682847,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,direct,1109682847_10,1,spinning osis
1109682847,2005,5c134542-d0b3-55f2-8c4c-413ccb2e9d15,Ilja Mitrofanov,direct,1109682847_11,0,blurry whirl
1109682847,2005,5c134542-d0b3-55f2-8c4c-413ccb2e9d15,Ilja Mitrofanov,direct,1109682847_11,1,paradox whirl
1114277529,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,direct,1114277529_16,0,ducking
1114277529,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,direct,1114277529_16,1,torque
1114277529,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1114277529_17,0,fusion
1114277529,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1114277529_17,1,eggbeater
1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,context_window,1124840254_13,0,torque
1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,context_window,1124840254_13,1,torque
1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,context_window,1124840254_14,0,blurry whirl
1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,context_window,1124840254_14,1,blurriest
1124840254,2005,8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,context_window,1124840254_16,0,blurry whirl
1124840254,2005,8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,context_window,1124840254_16,1,ripwalk
1124840254,2005,8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,context_window,1124840254_16,2,whirl
1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,context_window,1124840254_19,0,pixie
1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,context_window,1124840254_19,1,legover
1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,context_window,1124840254_19,2,mirage
1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,context_window,1124840254_20,0,mirage
1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,context_window,1124840254_20,1,butterfly
1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,context_window,1124840254_20,2,osis
1125936037,2005,b274fbcc-9283-5e2e-9c68-704f3212796e,Yves Kreil,direct,1125936037_117,0,torque
1125936037,2005,b274fbcc-9283-5e2e-9c68-704f3212796e,Yves Kreil,direct,1125936037_117,1,stepping
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_124,0,fog
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_124,1,drifter
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_124,2,blurry whirl
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_126,0,atom smasher
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_126,1,atomic torque
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_127,0,atomic
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_127,1,fog
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_127,2,torque
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_130,0,blurry whirl
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_130,1,whirl
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_130,2,superfly
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_132,0,blurry whirl
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_132,1,ripwalk
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_132,2,whirl
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_132,3,pixie
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_132,4,paradox whirl
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_134,0,smear
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_134,1,atomic
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_134,2,pixie
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_135,0,ripwalk
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_135,1,ripwalk
1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1125936037_135,2,blurry whirl
1126086921,2005,4d352728-74b6-51db-aa04-1cf6d24b7cc7,Damian Piechocki,context_window,1126086921_37,0,blurry whirl
1126086921,2005,4d352728-74b6-51db-aa04-1cf6d24b7cc7,Damian Piechocki,context_window,1126086921_37,1,paradox blender
1126086921,2005,2863264e-bf65-5f88-aef4-0b89332b7a29,Hubert Godlewski,context_window,1126086921_41,0,paradox blender
1126086921,2005,2863264e-bf65-5f88-aef4-0b89332b7a29,Hubert Godlewski,context_window,1126086921_41,1,whirl
1127155729,2005,befb0f76-73f3-5021-bfa3-b62e1c6400bd,Piotr Czaja,context_window,1127155729_16,0,whirl
1127155729,2005,befb0f76-73f3-5021-bfa3-b62e1c6400bd,Piotr Czaja,context_window,1127155729_16,1,superfly
1127155729,2005,3a35aed5-508b-5278-847d-8a49e80d7b6f,Tomek Ostrowski,direct,1127155729_17,0,torque
1127155729,2005,3a35aed5-508b-5278-847d-8a49e80d7b6f,Tomek Ostrowski,direct,1127155729_17,1,whirl
1127155729,2005,a3781ac2-c529-5316-b22b-2bdcfa67bb67,Damian Budzik,direct,1127155729_18,0,blender
1127155729,2005,a3781ac2-c529-5316-b22b-2bdcfa67bb67,Damian Budzik,direct,1127155729_18,1,whirl
1127155729,2005,495fbdce-986d-523e-9b01-f699a035c4ef,Tomasz Wróbel,direct,1127155729_19,0,dimwalk
1127155729,2005,495fbdce-986d-523e-9b01-f699a035c4ef,Tomasz Wróbel,direct,1127155729_19,1,ripwalk
1135116604,2006,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,direct,1135116604_120,0,superfly
1135116604,2006,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,direct,1135116604_120,1,blender
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,direct,1135116604_121,0,torque
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,direct,1135116604_121,1,superfly
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1135116604_124,0,flurry
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1135116604_124,1,pixie
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1135116604_125,0,stepping
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1135116604_125,1,spinning
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1135116604_125,2,spinning
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1135116604_126,0,butterfly
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1135116604_126,1,ripwalk
1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1135116604_126,2,whirl
1137347261,2006,5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,context_window,1137347261_8,0,ripwalk
1137347261,2006,5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,context_window,1137347261_8,1,spinning osis
1137347261,2006,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,context_window,1137347261_10,0,parkwalk
1137347261,2006,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,context_window,1137347261_10,1,pixie
1137347261,2006,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,context_window,1137347261_12,0,pixie
1137347261,2006,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,context_window,1137347261_12,1,butterfly
1137347261,2006,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,context_window,1137347261_28,0,whirl
1137347261,2006,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,context_window,1137347261_28,1,whirl
1137347261,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,context_window,1137347261_30,0,blurry whirl
1137347261,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,context_window,1137347261_30,1,spinning
1137347261,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,context_window,1137347261_32,0,blur
1137347261,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,context_window,1137347261_32,1,parkwalk
1138601883,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,direct,1138601883_8,0,fog
1138601883,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,direct,1138601883_8,1,mirage
