person_canon,effective_person_id,notes
Chad Rassmuson,b268c49e-eef5-54f8-8ed5-16d8b5ffb62a,no_match
Charles Baldwin,f9fb2116-3bc7-56d4-9d62-4967ec689255,no_match
Charles Dukes,55f4e5e1-9bf2-54fc-bb08-19cbe7f215d5,no_match
Charlie Baldwin,e0dc852f-0adf-5bce-8307-33c6c6bb5eed,no_match
Charlie Hallowell,6c04bcd5-bb8f-56c7-b90e-db057e98ffa9,no_match
Charlie McQuaid,3fd05b26-4db3-5601-90a7-423edc453f55,no_match
Charly Franz,0c36a7fe-b213-51bd-bd5f-946ef09d47d7,no_match
Chavez Diaz,71a84099-2e78-5406-8931-6e26af9d32e6,no_match
CHECK DONELLY,71036e42-93d9-5860-abf7-f4e25b68966f,no_match
Cheri Johnson,5ed3846e-4212-5e19-84ff-19cc486e66db,no_match
Chico Luis,26d71726-9c88-5e92-b0cf-ee991fe09e4e,no_match
Chippy Mora,785f2717-ba7e-58d8-849d-671b4a6175da,no_match
Chris Bock,d38e79af-2f04-5a3a-8138-047a0f3e0733,no_match
Chris Burkart,c8f10f61-bf04-5601-af3c-fb85abe24ede,no_match
Chris Carboni,7baed267-2e82-522d-9747-bd9b4fd91b74,no_match
Chris Donofrio,930c2d56-749c-5f85-a221-106ebb83e0b8,no_match
Chris Dubois,3425b94a-07d9-5c4e-b8b0-9b84da67a91d,no_match
Chris Eckley,9c808a76-9232-5aef-9536-149543c18ba0,no_match
Chris Eichman,f4b3a710-aaeb-55ff-a0f7-d567050d9d15,no_match
Chris Gober,bd23a85e-2163-5e80-aecb-52f35079e9c1,no_match
Chris James,383f6f61-a855-5091-9d27-f91312e7a7c5,no_match
Chris Kapel,1dc336f0-6058-5ad4-8311-c81b7ce71324,no_match
Chris Kovals,6e1ecab1-b32e-54d7-9cf8-9aecb145ef9e,no_match
Chris Loew,77077fa3-e070-5728-87d5-88c81b58466a,no_match
Chris Naidel,2250ff0b-cbec-59e4-81a0-0f6e5d1ed0e9,no_match
Chris Reyer,4a9cce74-b91d-5e0a-91b9-c96136fb1f2e,no_match
Chris Seguin,6177295a-750d-5f81-a203-61eb8157ae94,no_match
Chris Seibert,bd1ac97c-6c20-5bcd-9fbd-f5279f4c22bf,no_match
Chris Sieber,7c8a958d-74ca-5038-a961-4455fde610d8,no_match
Chris Thomas Wollick,520ea276-23dc-5c1a-9848-6dcde38b0dd8,no_match
Chris Walser,175ba091-003b-59ec-91a7-0f0350c5e984,no_match
Chris Winkle,a8453d85-aa71-52c7-9298-a7b8378f210e,no_match
Chris ÏGatorÓ Routh,7d869fbe-ba9a-5829-b190-d9905be7caaa,no_match
Chrisoph Larndorfer,4cbec9a2-d07a-5400-b645-ce6e573e93b2,no_match
Christian Belisle,7ece3d3d-e7b5-5fee-88b9-c3ff48425277,no_match
Christian Bopp,ce8f9c7c-a151-5d74-ae32-80e9e5ec1e93,no_match
Christian Dam,63e74761-85ab-518f-a1bd-9b37fe7437d0,no_match
Christian Loew,1805e38e-adb4-52ab-9d96-281024c565d9,no_match
Christian Löw,c859420d-4487-5539-8a89-7fd09956d790,no_match
Christian Ruby,1e7d75e9-5b94-5085-9d11-945e1ef86cf5,no_match
Christian Tremo,0e73e28a-9e03-5074-a942-24bc7cae53e6,no_match
Christie Rapp,1dfcee7e-b760-58b2-8e45-3c8a1e74f1de,no_match
Christoph Hitz,7191ace0-3944-5433-85bb-6c80a6df482b,no_match
Christoph Straka,f8af42d9-111e-5668-a16e-98202887c579,no_match
Christophe Gobbart,f73c7573-8253-5d0c-b9c5-f82832810d98,no_match
Christopher Larndorfer,394a211f-8a34-5966-9187-defb845177d3,no_match
Christopher Michael Ingle,7dc71e1f-9b08-53c1-9981-2c5d5de88036,no_match
Christy Atkin,dddfd26d-7743-5e65-8675-2ec535bc6d68,no_match
Christy Rapp,cc0cf08b-e3d0-5e6e-89de-1edbe3a1769d,no_match
Chuck Baldwin,4b6f438d-a3fb-56b1-8861-450dc19008bc,no_match
Chuck Powell,37efc8c3-bbf6-5a85-a138-b636801c23d6,no_match
Chuck Simmers,408ad9ef-9208-538e-b4b6-d93a5a16ad84,no_match
Claire Beltrain,1855005c-8c35-5953-a81f-ac8ca9f3908e,no_match
Claudia Vera,6c7852d4-e9d6-5b44-9c2b-f4ffd8024b0d,no_match
Clay Jordan,b67c75b9-90c9-56ff-bacf-13111595da6a,no_match
Cody Baird,3f0958bc-360c-5ae8-8e51-7b579e0b50e2,no_match
Cody Robertson,60bb5837-f22a-542f-a204-9e87ec6678cc,no_match
Colin Hortigon,1a7a1b1a-b100-58fd-a540-0fe677ac4ccb,no_match
Colin McLeod,07e98e72-22b8-5bb2-86a4-2b629a63bb3e,no_match
Colton Ramstrom,0d84aa00-936d-58ae-bfe7-d2907f521107,no_match
Cooper Rooks,589a286f-e44d-5304-b1c3-99c222d9ad1d,no_match
Corey Current,4f88ab52-2627-5f0c-9c6b-13b173c86228,no_match
Corey Gorges,2d7cf488-434e-574a-a32c-13443fac78a7,no_match
Cornelius Abel,2193cd0d-f409-5e51-ab7c-443303fac76b,no_match
Crag Sturgess,cd310dce-75af-57fb-87f1-ee59478ae6ba,no_match
Craig Bennetts,4e34d6cf-73f4-5c1d-b3ae-9bfb4fda38f7,no_match
Craig Lewis,ccd309d7-5e6a-565a-b7c6-d45ab1ca0091,no_match
Craig McNair,048574ff-0ca9-509a-863f-22f02a6ef7b9,no_match
Craig Sturgess,386d6a37-4682-59e5-8f16-572f674bf3b5,no_match
Crass Eddicott,3b6e1a06-b0c9-57ad-a4fb-36a6bd7aa47d,no_match
Crazy Mike Craig,f8221498-f0fb-5598-b251-b5b12fccdcab,no_match
Crazy Mike Whalen,cb99e7f0-0d31-552a-8248-0600de58f075,no_match
Cristian Trujillo,24e204e0-2b0e-512f-a25b-1d24320c1b9e,no_match
Cristoph Alexander,6814ebbf-d3d7-5489-b71b-9f4128847219,no_match
Cristopher Schillem,5a81a6d9-0309-5dc5-aaac-38ef59d8d4ac,no_match
Csaba Repasi,2e2ac45c-2d53-56db-87ec-8d5ea139e898,no_match
Cyril Peron aka Pataps,2719a06a-1783-56da-93c0-802d8b1d8c9c,no_match
Czech Republic,953c9f19-81e2-5b49-b779-2022fccd6656,no_match
Da Silva,edc1b888-82c3-5a59-8e5e-fcf6978d289b,no_match
Dale Crawford,0265138a-6895-5c82-b7c3-3f02d9a61e68,no_match
Damien Coventry,3d493481-3f0f-5731-9824-c55940a16045,no_match
Damyan Krustev,86a20ec0-e9ea-5f50-ba1c-aac3d57d00ee,no_match
Dan Holland,577441e1-9aa5-5392-8ea8-8e156c74a438,no_match
Dan Iachini,4e35b91c-c542-5dbb-a5de-a194a55d21bc,no_match
Dan Kaufman,38dea20c-3514-5c0c-8987-eb3274a7797b,no_match
Dan Knisoll,743222d0-7ef2-50a1-ac26-68faab822eb0,no_match
Dan Luciano,8c864c1b-16e2-568f-9cdc-4edefbcb0168,no_match
Dan Schläpfer,fab25c7a-5cde-5aaa-958f-1f0ad9248eff,no_match
Dani Waldi,54921615-387c-54bb-89fa-a4e3d9304e3e,no_match
Daniel Barrientos,1c585eb1-5250-59e5-a0ea-ff924c8c773a,no_match
Daniel Cardenas,a32970ff-a155-5c6d-9d99-3b67bd50c5bf,no_match
Daniel Ernesto González,a10229db-dfa4-5dfd-b917-1fde6896d838,no_match
Daniel Herrick,f702eed2-deaa-5cd0-ba00-389212096397,no_match
Daniel Jaramillo,e1f0745d-5c51-50cf-bcfd-386394b5a9e9,no_match
Daniel Kramer,df1ea88c-0a16-59dc-b508-167e7d938d3e,no_match
Daniel Ku niec,e4ceb2e5-55e4-56eb-9360-39851038dd4e,no_match
Daniel Schläpfer,1631fe5a-47d0-50ef-a901-07d8a09ab51a,no_match
Daniel Send,7a2e16e5-7b0f-5fbc-91fb-6dc809f82311,no_match
Daniel Urrutia,37031ab2-57df-5be0-8ea4-586101ecffb4,no_match
Danny Borsky,455dc678-0d04-58c3-a92f-7f2bdbfecf08,no_match
Danny Iachini,eb6c8019-8a66-5c39-942f-47e75377cc38,no_match
Danny Kristek,9605c630-f86e-592c-9f86-68fd5fffcda2,no_match
Danny Peleva,5950e5f2-4ab8-59b4-b790-65f64a6f57a6,no_match
Dante Diotavelli,8e45c907-30f2-567b-890b-e1aee59e6bf0,no_match
Dante Michael,8d9c6747-52cb-5784-b36b-6cef1d6af168,no_match
Dara Hristova,d69c68f7-b9fb-5171-8275-3e4605209c19,no_match
Darik McLaughlin,03c6b751-1e80-5d1c-80f1-6365b24ac9c2,no_match
Darlyn Mendoza,69dfcba7-07f7-54dd-b9bd-a6e964103d48,no_match
Darrin McAulay,65d2b689-cdb8-52c1-8911-7f65948f0813,no_match
Darryl Genz,93058512-dda3-563d-8738-429082c7630c,no_match
Darwin chipy Mora,602f9e26-8ece-549f-8ab6-13e2f1e7affe,no_match
