year,division_category,division_canon,place,competitor_type,person_canon,team_display_name,coverage_flag
2025,net,Simple Open - Open Singles,10,player,Léa Lespérance,,complete
2025,net,Singles Net,1,player,Ivan Stanev,,complete
2025,net,Singles Net,1,player,Matti Pohjola,,complete
2025,net,Singles Net,1,player,Luis Lovera,,complete
2025,net,Singles Net,2,player,Rosen Rusev,,complete
2025,net,Singles Net,2,player,Tuomas Karki,,complete
2025,net,Singles Net,2,player,Khyle Clarence Martin,,complete
2025,net,Singles Net,3,player,Radoslav Rusev,,complete
2025,net,Singles Net,3,player,Mon Thike,,complete
2025,net,Singles Net,3,player,Grischa Tellenbach,,complete
2025,net,Singles Net,4,player,Hristo Marev,,complete
2025,net,Singles Net,4,player,Tuomas Riisalo,,complete
2025,net,Singles Net,4,player,Eurik Lindner,,complete
2025,net,Singles Net,5,player,Dinko Dimitrov,,complete
2025,net,Singles Net,5,player,Santeri Karvinen,,complete
2025,net,Singles Net,5,player,Allen Gumasing Paule,,complete
2025,net,Singles Net,6,player,Joona Koistinen,,complete
2025,net,Singles Net,6,player,Sven Depoilly,,complete
2025,net,Singles Net,7,player,Eduardo Frenzel Martinez,,complete
2025,net,Singles Net,8,player,David Rambaud,,complete
2025,net,Singles Net,9,player,Audrey Tumelin,,complete
2025,net,Singles Net,10,player,Stefan Tonev,,complete
2025,net,Singles Net,11,player,Baptiste Martin,,complete
2025,net,Singles Net,12,player,Nassirou Ouro,,complete
2025,net,Singles Net,13,player,Costa Depoilly,,complete
2025,net,Singles Net,14,player,Martin Faudet,,complete
2025,net,Singles Result,1,player,Pavel Hejra,,complete
2025,net,Singles Result,2,player,Jiri Bartacek,,complete
2025,net,Singles Result,3,player,Petr Fuèík,,complete
2025,net,Women's Singles Net,1,player,Becca English-Ross,,complete
2025,net,Women's Singles Net,2,player,Sarah Femmel,,complete
2025,net,Women's Singles Net,3,player,Anneleissa Cohen,,complete
2025,net,Women's Singles Net,4,player,Sarah Hagen,,complete
2025,net,Women’S Singles Net,1,player,Marilyn Demuy,,complete
2025,net,Women’S Singles Net,2,player,Lena Mlakar,,complete
2025,net,Women’S Singles Net,3,player,Becca English-Ross,,complete
2025,net,Women’S Singles Net,4,player,Audrey Tumelin,,complete
2025,net,Women’S Singles Net,5,player,Maude Laudreville,,complete
2025,net,Women’S Singles Net,6,player,Léa Lespérance,,complete
2025,net,Women’S Singles Net,7,player,Tanja Abt,,complete
2025,net,Women’S Singles Net,8,player,Sarah Femmel,,complete
2025,net,Women’S Singles Net,9,player,Caroline Birch,,complete
2025,net,Women’S Singles Net,10,player,Victoria Grillo Garcia,,complete
2025,sideline,2-Square,1,player,Christopher Schillem,,mostly_complete
2025,sideline,2-Square,1,player,Tom Kotsakos,,mostly_complete
2025,sideline,2-Square,1,player,Aleksi Airinen,,complete
2025,sideline,2-Square,2,player,Mikko Lepisto,,mostly_complete
2025,sideline,2-Square,2,player,Pawel Rozek,,mostly_complete
2025,sideline,2-Square,2,player,Samu Ahola,,complete
2025,sideline,2-Square,3,player,Mathieu Gauthier,,mostly_complete
2025,sideline,2-Square,3,player,Pawel Nowak,,mostly_complete
2025,sideline,2-Square,3,player,Mikko Lepisto,,complete
2025,sideline,2-Square,4,player,Martin Czech,,mostly_complete
2025,sideline,2-Square,5,player,Dominik Šimků,,mostly_complete
2025,sideline,2-Square,5,player,Mikko Lepisto,,mostly_complete
2025,sideline,2-Square,6,player,Rory Dawson,,mostly_complete
2025,sideline,2-Square,6,player,Sebastian Ceballos,,mostly_complete
2025,sideline,2-Square,7,player,Julian Florez Cifuentes,,mostly_complete
2025,sideline,2-Square,8,player,Jakub Mosciszewski,,mostly_complete
2025,sideline,Open 2 Square,1,player,Filip Wojcik,,complete
2025,sideline,Open 2 Square,2,player,Rafal Kaleta,,complete
2025,sideline,Open 2 Square,3,player,Maciej Pietrzycki,,complete
2025,unknown,Last Man Standing,1,player,Jakub Mosciszewski,,complete
2025,unknown,Last Man Standing,2,player,Pawel Nowak,,complete
2025,unknown,Last Man Standing,3,player,Mathieu Gauthier,,complete
2024,freestyle,Circle Contest,1,player,Jakub Mosciszewski,,complete
2024,freestyle,Circle Contest,2,player,Maciej Niczyporuk,,complete
2024,freestyle,Circle Contest,3,player,Arkadiusz Stanek,,complete
2024,freestyle,Circle Contest,4,player,Jakub Worek,,complete
2024,freestyle,Open Battles,1,player,Jakub Mosciszewski,,complete
2024,freestyle,Open Battles,2,player,Pawel Nowak,,complete
2024,freestyle,Open Battles,3,player,Maciej Niczyporuk,,complete
2024,freestyle,Open Battles,4,player,Arkadiusz Stanek,,complete
2024,freestyle,Open Battles,5,player,Jakub Worek,,complete
2024,freestyle,Open Battles,6,player,Damian Gielnicki,,complete
2024,freestyle,Open Battles,7,player,Przemyslaw Pietrzycki,,complete
2024,freestyle,Open Battles,8,player,Maciej Pietrzycki,,complete
2024,freestyle,Open Freestyle Battles,1,player,Kevin Hogan,,complete
2024,freestyle,Open Freestyle Battles,2,player,Nathan Bonslaver,,complete
2024,freestyle,Open Freestyle Battles,3,player,David Beyers,,complete
2024,freestyle,Open Freestyle Battles,4,player,Jason Varvaro,,complete
2024,freestyle,Open Freestyle Battles,5,player,Ben Babyak,,complete
2024,freestyle,Open Freestyle Battles,5,player,Drew Martin,,complete
2024,freestyle,Open Freestyle Battles,5,player,Peter Bowler,,complete
2024,freestyle,Open Freestyle Battles,5,player,Tom Jenkins,,complete
