event_id,year,division_canon,division_category,placements_present,min_place,max_place,expected_span,missing_places,coverage_ratio,coverage_flag,rejected_rows,quarantine_rows,excluded_rows,evidence_total,gap_class,priority_score
1103724325,2005,Routine,freestyle,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1135116604,2006,Open Women's Singles Freestyle,freestyle,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1193783964,2008,Women's Sick 3,freestyle,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
1201811757,2008,Singles,net,10,1,12,12,2,0.8333333333333334,mostly_complete,0,0,0,0,document_only,0.3
1224962900,2008,Open Freestyle,freestyle,12,1,14,14,2,0.8571428571428571,mostly_complete,0,0,0,0,document_only,0.3
1256202918,2010,Circle Contest,freestyle,10,1,12,12,2,0.8333333333333334,mostly_complete,0,0,0,0,document_only,0.3
1260368810,2010,Results Pro Image Cash Golf,golf,12,1,14,14,2,0.8571428571428571,mostly_complete,0,0,0,0,document_only,0.3
1318673467,2011,Open Singles Routines,freestyle,13,1,15,15,2,0.8666666666666667,mostly_complete,0,0,0,0,document_only,0.3
1321869570,2012,Open Singles Routines,freestyle,12,1,14,14,2,0.8571428571428571,mostly_complete,0,0,0,0,document_only,0.3
1335148163,2012,Open Singles Routines,freestyle,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1336988107,2012,Golf,golf,13,1,15,15,2,0.8666666666666667,mostly_complete,0,0,0,0,document_only,0.3
1337327565,2012,Simple,net,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1346947092,2012,Freestyle Shred 30,freestyle,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
1361207019,2013,Open Singles Routines,freestyle,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1362657553,2013,Open Singles Net,net,26,1,29,29,3,0.896551724137931,mostly_complete,0,0,0,0,document_only,0.3
1389730147,2014,Open Singles Routines,freestyle,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1391189882,2014,Open Singles Routines,freestyle,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1391189882,2014,Open Singles Golf,golf,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1453384342,2016,Golf,golf,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
1537994275,2018,Doble Leg Over,freestyle,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
1706036811,2024,Routines,freestyle,12,1,14,14,2,0.8571428571428571,mostly_complete,0,0,0,0,document_only,0.3
857852604,1997,Open Singles Routines,freestyle,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
873922005,1997,Freestyle,freestyle,5,1,6,6,1,0.8333333333333334,mostly_complete,0,0,0,0,document_only,0.2
941418343,2000,Intermediate Singles Net,net,15,1,17,17,2,0.8823529411764706,complete,0,0,0,0,document_only,0.2
955745735,2000,Doubles Footbag Net,net,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
1001076203,2001,Double,net,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
1001076203,2001,Single,net,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
972427576,2001,Intermediate Singles Net,net,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
978967004,2001,Intermediate Singles Net,net,5,1,6,6,1,0.8333333333333334,mostly_complete,0,0,0,0,document_only,0.2
981129410,2001,Open Freestyle,freestyle,3,1,4,4,1,0.75,mostly_complete,0,0,0,0,document_only,0.2
981560223,2001,Intermediate Singles Net,net,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
1013283071,2002,Open Doubles Net,net,16,1,18,18,2,0.8888888888888888,mostly_complete,0,0,0,0,document_only,0.2
1030830356,2002,Unknown,unknown,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
1035277529,2003,Mixed Doubles Net,net,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
1064849293,2003,Open Double Net,net,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
1064849293,2003,Open Single Net,net,4,1,5,5,1,0.8,mostly_complete,0,0,0,0,document_only,0.2
1079444598,2004,Open Singles Net,net,3,1,4,4,1,0.75,mostly_complete,0,0,0,0,document_only,0.2
1094201584,2004,Open Fives,net,3,1,4,4,1,0.75,mostly_complete,0,0,0,0,document_only,0.2
1107290435,2005,Open Singles,net,15,1,17,17,2,0.8823529411764706,mostly_complete,0,0,0,0,document_only,0.2
1109356644,2005,Doubles Net- Intermediate,net,3,1,4,4,1,0.75,mostly_complete,0,0,0,0,document_only,0.2
