alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Korff,Johannes Korff,1,9,2003,"2010,2011,2012,2013,2014",0,,1035277529,"1256202918,1282224512,1293877917,1294262550,1298627369",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Kris,Kris Johnson,1,1,2025,1997,0,,1739036206,865043841,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Lacaze,Ludovic Lacaze,1,18,2003,2000..2011 (12 yrs),0,,1035277529,"1001076203,1030830356,1050745947,1090569022,1125936037",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Lee Sickle,Lee Van Sickle,3,2,"2006,2007",2006,0,,"1155788760,1163784775",1146356760,5,"initial_variant,rare_alias"
Lindner,Eurik Lindner,1,38,2003,2003..2025 (19 yrs),0,,1035277529,"1064330873,1069929277,1079605499,1089373321,1102576153",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Louis,Denton Louis,1,6,2023,"2007,2008",0,,1686926080,"1163784775,1181021804,1208408135",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Luc,Luc Legeault,1,39,2010,1997..2020 (15 yrs),0,,1268445253,"1069929277,1107290435,1163784775,1164845982,1170456736",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Luka,Luka-Jean François Bélanger,2,2,"2007,2010","2007,2010",1,1170456736,"1170456736,1268445253","1170456736,1252451527",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Luke,Luke Anderson,1,1,2002,2000,0,,1025084282,959353403,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ma Gorzata Nycz,Ma gorzata Nycz,3,0,"2005,2007,2009",,0,,"1126086921,1189345008,1235653935",,5,"initial_variant,rare_alias"
Ma Gorzata Ol Dzka,Ma gorzata Ol dzka,1,0,2013,,0,,1376036018,,5,"initial_variant,rare_alias"
Marek Andrik,Marek andrik,1,0,2004,,0,,1092073845,,5,"initial_variant,rare_alias"
Mathieu,Mathieu Gauthier,2,40,2006,2006..2025 (15 yrs),0,,1134914723,"1135116604,1163784775,1194517448,1237771561,1361207019",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Matthias,Schmidt Matthias,1,4,2008,"2004,2017,2023",0,,1195677906,"1079605499,1089373321,1499025778,1678957450",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Matthias Aus Mainz,Matthias aus Mainz,1,0,2005,,0,,1117746703,,5,"initial_variant,rare_alias"
Meneboo,Jules Meneboo,1,6,2003,"2004,2005,2007,2009,2010",0,,1035277529,"1090569022,1103724325,1177512537,1241011525,1277805979",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Michal,Ostrowski Michal,1,1,2002,2007,0,,1018812342,1185458086,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Michał,Michał Pietryńczak,1,1,2023,2009,0,,1694170899,1248864536,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Adamszyck,1,2,2001,"2001,2002",0,,1001942070,"1021665982,981129410",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike Mccarthy,mike mccarthy,2,0,"2001,2008",,0,,"1189467124,980969461",,5,"initial_variant,rare_alias"
Mikko,Mikko Haario,1,3,2013,"2003,2004,2005",0,,1377192359,"1063788560,1094123527,1102576153",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mikołaj,Mikołaj Kulesz,1,1,2023,2005,0,,1694170899,1102443443,7,"prefix_match,token_subset,rare_alias,canon_more_common"
NiNo,Nino Almazon,3,4,2004,"2000,2002,2003",0,,"1076876907,1081766954,1092044099","1011324897,1021665982,1049457912,946940201",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nicolas,Nicolas Boueste,1,1,2020,2003,0,,1598616506,1064849293,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nina,Mader Nina,2,1,"2002,2003",2004,0,,"1025084282,1064849293",1079605499,8,"suffix_match,token_subset,rare_alias"
Nino,Nino Almazon,1,4,2001,"2000,2002,2003",0,,981129410,"1011324897,1021665982,1049457912,946940201",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Nora,Locher Nora,1,1,2003,2004,0,,1064849293,1079605499,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Olivier,Olivier B.-Bergé,1,1,2010,2010,0,,1268445253,1272817638,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ondrej Krabal,Ondrej krabal,1,0,2005,,0,,1104851808,,5,"initial_variant,rare_alias"
Paul Heckel,paul heckel,1,0,1998,,0,,881872990,,5,"initial_variant,rare_alias"
Pauline,Pauline Bechtel,1,2,2025,2000,0,,1741024635,"941418343,957240514",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Pawe Cierski,Pawe cierski,5,0,"2010,2013",,0,,"1288096032,1376036018",,4,initial_variant
Pawe Fr Czek,Pawe Fr czek,1,0,2013,,0,,1376036018,,5,"initial_variant,rare_alias"
Pawe Ro Ek,Pawe Ro ek,6,0,"2013,2017,2019",,0,,"1376036018,1485863923,1547415984",,4,initial_variant
