player_id,name_raw,name_clean,person_id,person_canon,issue_type,appearances,evidence,suggested_action
,Oskari Forsten,Oskari Forsten,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Oskari Forst�n,Oskari Forst�n,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,P.T. Lovern,P.T. Lovern,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Pawel Scierski,Pawel Scierski,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Paweł Ścier�ski,Paweł Ścier�ski,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Piia Tantarim�ki,Piia Tantarim�ki,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Robin Puechel,Robin Puechel,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Samantha Conlon,Samantha Conlon,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Sean Flynn (Phoenix,Sean Flynn (Phoenix,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Shay,Shay,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Simon Voss,Simon Voss,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Stefan Nold,Stefan Nold,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Stefan Siegert,Stefan Siegert,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Steve Kuntze,Steve Kuntze,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,S�bastien Maillet,S�bastien Maillet,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Tabea Fetz,Tabea Fetz,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Team S. Thomas Sustrac ? Robinson Sustrac,Team S. Thomas Sustrac ? Robinson Sustrac,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Thomas Sustrac,Thomas Sustrac,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Toni P��kk�nen,Toni P��kk�nen,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Tricia George (West Linn,Tricia George (West Linn,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Tuomas Riisalo,Tuomas Riisalo,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Ulrike Häßler,Ulrike Häßler,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Wojciech Jamski,Wojciech Jamski,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Xavier Beauchamp-Tremblay,Xavier Beauchamp-Tremblay,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,"""Nato""","""Nato""",,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,3rd Of All Pools,3rd Of All Pools,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,4th Of All Pools,4th Of All Pools,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Abbey Marment,Abbey Marment,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Abram,Abram,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Adam Greenwood : Sailing Catwalk,Adam Greenwood : Sailing Catwalk,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,"Adam Pirog, Montréal","Adam Pirog, Montréal",,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Adrian Dick,Adrian Dick,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Adrian Verhoef,Adrian Verhoef,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Aerial Santesteban,Aerial Santesteban,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Agatka,Agatka,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ahren Gehrman 7.90 7.97 5 213 83 2.57,Ahren Gehrman 7.90 7.97 5 213 83 2.57,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ahren Gerhman,Ahren Gerhman,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ale Pelko,Ale Pelko,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Aleksi Airinen (FIN) ?,Aleksi Airinen (FIN) ?,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Aleksi Ohman,Aleksi Ohman,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ales Zelinka,Ales Zelinka,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Alex,Alex,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Alex Dworetzky,Alex Dworetzky,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Alexandre B�langer,Alexandre B�langer,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Alexandre Colpron,Alexandre Colpron,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Alexis(scratch),Alexis(scratch),,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Allen Petersen (Denver,Allen Petersen (Denver,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Andi Wolff,Andi Wolff,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Andre Lemaire,Andre Lemaire,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,"Andre Lemaire (Vancouver, BC)","Andre Lemaire (Vancouver, BC)",,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Andreas Kaefer,Andreas Kaefer,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Andrew Grant,Andrew Grant,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Andrew Hires,Andrew Hires,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Andrew Johnson 5.00 6.40 8 93 57 1.63,Andrew Johnson 5.00 6.40 8 93 57 1.63,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
