unresolved_person_id,unresolved_canon,token_count,appearances,match_person_id,match_canon,score,confidence_tier,decision,notes
,Erik ?????,2,1,1bedfc1b-885c-5426-a93f-6fe033fd5f3e,Erik Chang,90.0,MEDIUM,reject,
6de1e9ce-89dd-5664-ae90-0f75bfdbb5f4,Andi N.,2,1,a2c957e1-37e5-5734-b559-09cd5adb46fc,Andi Navratilova Nawrath,90.0,MEDIUM,reject,
,Andreas Wolff ? Uli Haase,5,1,a03090dc-7534-5454-aab3-f3a074f67d33,Andreas Wolff,90.0,MEDIUM,reject,
fcad417e-a1a8-5257-81ed-c40411c2e11a,Andreina Peńa-Reinaldo Pérez,3,1,d79400d9-48d1-532f-9698-d061ff012410,Reinaldo Pérez,90.0,MEDIUM,reject,
,Lino Landau ? Marc Brunet,5,1,fbf52ca9-ba84-50bc-bce9-0244718c18e7,Lino Landau,90.0,MEDIUM,reject,
,Lisa Uebele ? Andreas Wolff,5,1,a03090dc-7534-5454-aab3-f3a074f67d33,Andreas Wolff,90.0,MEDIUM,reject,
,Ludovic Lacaze ? Eric Fonteneau,5,1,1645cd59-4ae0-5a7a-adaa-bead2c1d5a81,Eric Fonteneau,90.0,MEDIUM,reject,
775b1aa9-1f18-5a84-8b92-57c693806da9,Lee S.,2,1,d7085185-43b6-553a-8e5a-a1984e69eb4b,lee sickle,90.0,MEDIUM,reject,
,Kerstin Anhuth ? Chris Löw,5,1,59b9b60b-1697-54f8-98d1-eaed43e99f65,Chris Löw,90.0,MEDIUM,reject,
,Manuel Kruse ? Simon Voss,5,1,fd8d3afc-a726-5ac8-841c-be6459e303bf,Manuel Kruse,90.0,MEDIUM,reject,
5c16001b-a1b8-586f-b397-b5b25b99c5d0,Mark Hunsberger-Josh DeClercq,3,1,3bc20f40-9bd7-598b-a131-92516d1c8a26,Josh DeClercq,90.0,MEDIUM,reject,
7d27180a-ad9d-5ef9-ab45-fdd21444eaca,Matt E.,2,1,8fc2faf7-21e5-501f-94b7-bb5d3f037d01,Matt Emmings,90.0,MEDIUM,reject,
053d4998-3ffb-5b74-a7c1-a841fcd21b57,Julio Garcia-Ángel Vivas,3,1,7edd9574-507f-5ef4-a48c-3d6e3f146314,Angel Vivas,90.0,MEDIUM,reject,
c30d2488-7128-5868-b958-8010fa824725,Sunil Tsunami Jani,3,20,464cdb27-2df7-5948-9588-2c5c7523d618,Florian Goetze Jani Markkanen,85.5,MEDIUM,reject,
4b69d36b-2034-5823-b4ea-45219f69ca27,JUAN PALACIOS,2,8,3123701a-43bd-5273-8472-ba332dc67fed,JUAN BERNARDO PALACIOS LEMOS,85.5,MEDIUM,accept,
a96902d6-fbef-53a1-b648-cad7877658f2,ALEX LOPEZ,2,5,be0d9849-db58-5aa2-90cc-df475a8c43bd,Alex Ibardaloza,85.5,MEDIUM,reject,
57a7a762-cec7-54fc-b3f7-0df479312eb0,Aaron De Glanville,3,4,ee4a31bf-24fa-5566-b19b-7f7a40e12d22,Aaron Dean,85.5,MEDIUM,reject,
858da927-84b9-5d1a-b600-0130b4be9200,Natalia Fry,2,3,2074b865-2331-5c94-9f79-36e22468af38,Natalia Nikolaeva,85.5,MEDIUM,reject,
61060a5b-cf53-5bcb-b8af-6c1aedc63479,JAN CERMAK,2,3,c4ff6c08-6811-5f9b-9bfd-80372e4a4df1,Jan Dabi Romero,85.5,MEDIUM,reject,
8f2bb4d5-3213-5d8d-88ab-2008e38ca3b5,Luka W.-Lavallée,2,3,1a7e5449-7279-591c-b62a-8baf27ed8fb7,Luka-Jean François Bélanger,85.5,MEDIUM,reject,
