event_id,event_name,year,issue_class,severity,note,n_placements,n_divisions,has_dup_places,has_round_kw,place_reset_count,has_mirror_manual,results_raw_len
1185458086,Footbagmania 3007 - Polish Footbag Championships,2007,MINOR_TIES_MERGED,moderate,"minor: 3 duplicate place(s) in ""Open Golf",51,11,1,0,11,1,1834
1185556078,Austrian Footbag Championships 2007,2007,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Freestyle"")",41,7,1,1,9,1,1208
1189345008,5th Annual Wilanow Footbag Open 2007,2007,POOL_FINALS_MERGED,severe,"pool+finals results merged (3 divisions, 10 dup pairs, 41 affected rows)",57,9,1,0,9,1,1272
1189467124,Phoenix Open,2008,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Doubles"", ""Open Singles"")",24,3,1,0,3,1,643
1194517448,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,2008,POOL_FINALS_MERGED,severe,"pool+finals results merged (4 divisions, 16 dup pairs, 120 affected rows)",204,9,1,0,9,1,6079
1195773772,Zocha Jam 2007,2007,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Circle Contest",30,9,1,0,11,1,1072
1199106237,10th Annual IFPA European Footbag Championships,2008,MERGED_DIVISION_RESULTS,severe,"division results merged (""Open Golf"", ""Open Singles Freestyle"", ""Request Contest"", 7 dup pairs)",172,12,1,0,0,1,6502
1206161350,Montreal Spring Jam 3,2008,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Request Contest",16,3,1,0,0,1,293
1212769063,24th Annual Midwest Regional Footbag Championships,2008,MINOR_TIES_MERGED,moderate,"minor: 2 duplicate place(s) in ""Circle Contest",7,2,1,0,0,1,225
1219405634,8th Annual Polish Footbag Championships 2008,2008,POOL_FINALS_MERGED,severe,"pool+finals results merged (4 divisions, 17 dup pairs, 79 affected rows)",97,10,1,0,12,1,3615
1220466807,East Coast Footbag Championships,2008,POOL_FINALS_MERGED,moderate,"pool+finals results merged (2 divisions, 10 dup pairs, 25 affected rows)",39,6,1,0,8,1,834
1222687523,10e Open de France de Footbag,2008,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Open Singles Freestyle"", ""Women Singles Freestyle"", 3 dup pairs)",119,11,1,0,12,1,4177
1224962900,Zocha Jam 2008,2008,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Freestyle"")",50,10,1,0,13,1,1424
1226679678,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2009,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open 2-Square"", ""Open Doubles Net"")",237,20,1,0,20,1,7852
1228946926,Czech Footbag Championships,2008,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Open Routine"", ""Sick 3"", 4 dup pairs)",35,3,1,0,4,1,831
1231432184,Todexon 10,2009,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Singles Freestyle"")",63,6,1,0,6,1,1813
1233299407,2009 U.S. Open Freestyle Footbag Championships,2009,MINOR_TIES_MERGED,moderate,"minor: 3 duplicate place(s) in ""Women's Circle",32,8,1,0,8,1,1239
1235149093,RNH Contest 2009,2009,MERGED_DIVISION_RESULTS,severe,"division results merged (""Initial Seeding Open Doubles Net"", 5 dup pairs)",97,7,1,1,14,1,10564
1235653935,11th Annual IFPA European Footbag Championships - Strzelin,2009,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Singles Fr",135,17,1,0,17,1,4209
1239721441,End of Winter Jam,2009,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Circle Contest",22,4,1,0,5,1,875
1241031822,Frisbee Footbag Fest,2009,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Circle"", ""Routine"", 4 dup pairs)",28,4,1,0,0,1,824
1245404642,6# Swiss Footbag Open,2009,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Open Circle Contest"", ""Open Singles Routines"", ""Women's Singles Routines"",",23,3,1,0,3,1,806
1251990500,6th Annual Wilanow Footbag Open 2009,2009,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open 2-Square"", ""Open Circle Contest"",",47,5,1,0,5,1,1432
1252110023,2009 East-Coast Footbag Championships,2009,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Circle"", ""Doubles"", ""Intermediate"" + 2",47,6,1,0,10,1,1010
1254829577,Finnish Footbag Championships,2009,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Circle Competition"", ""Open Singles Net"", 2 dup pairs)",48,7,1,0,7,1,1298
1255957016,Zocha Jam 2009,2009,MERGED_DIVISION_RESULTS,severe,"division results merged (""Open Freestyle"", ""Singles Net"", 9 dup pairs)",59,11,1,0,11,1,1544
1256202918,11e Open de France de Footbag,2010,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Circle Contest"", ""Open Routines"", 3 dup pairs)",137,9,1,0,9,1,3490
1260368810,Frankfurt Footbag 10th Anniversary Jam,2010,MINOR_TIES_MERGED,moderate,"minor: 3 duplicate place(s) in ""Results Pro Image Cash Golf",36,2,1,0,3,1,2668
1265745512,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,2010,POOL_FINALS_MERGED,severe,"pool+finals results merged (4 divisions, 15 dup pairs, 101 affected rows)",268,20,1,0,21,1,9692
1267199851,WSF Mistrzostwa Pragi w Grze w Zoske,2010,MERGED_DIVISION_RESULTS,minor,"division results merged (""Footbag Golf"", ""Intermediate Circle Contest"", 5 dup pairs)",55,9,1,0,11,1,1491
1268407783,2010 East Coast Footbag Championships,2010,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Novice"")",44,3,1,0,10,1,1006
1269111845,"The King of the Hill 2010, presented by Aki Québec",2010,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Singles Net"")",24,1,1,0,2,1,524
1269266785,12th Annual IFPA European Footbag Championships - Brussels,2010,POOL_FINALS_MERGED,severe,"pool+finals results merged (3 divisions, 12 dup pairs, 56 affected rows)",193,14,1,0,11,1,7512
1270631935,RNH Contest 2010,2010,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Doubles Net"", ""Open Singles Net"")",51,2,1,1,12,1,7534
1278603677,10th Annual Polish Footbag Championships 2010,2010,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open 2-Square"", ""Open Circle Contest"",",56,6,1,0,6,1,1646
1285506605,2010 NYJ/Midwest Regionals Footbag Championships,2010,MINOR_TIES_MERGED,moderate,"minor: 3 duplicate place(s) in ""Routines",19,3,1,0,5,1,904
1286644859,Czech Footbag Championship 2010,2010,MINOR_TIES_MERGED,minor,"minor: 2 duplicate place(s) in ""Open Singles Freestyle",20,4,1,0,5,1,465
